Amharic,Oromo
ቶም መቼም ይቅር የሚለኝ አይመስለኝም።,Toom yoomiyyuu dhiifama naaf godhu jedhee hin yaadu.
ይህን ማድረግ ከባድ የሚሆን አይመስለኝም።,Akkas gochuun waan ulfaatu natti hin fakkaatu.
ይህን ማድረግ የሚቻል አይመስለኝም።,Akkas gochuun waan danda'amu natti hin fakkaatu.
አሁን ያንን ማድረግ ብልህነት አይመስለኝም።,Amma akkas gochuun ogummaa natti hin fakkaatu.
መፍትሄው ይህ ነው ብዬ አላምንም።,Furmaanni kanuma natti hin fakkaatu.
እቅድህ የሚሳካ አይመስለኝም።,Karoorri kee ni hojjeta jedhee hin yaadu.
ይህ ጥሩ ሀሳብ ነው ብዬ አላምንም።,Kun yaada gaarii akkasii natti hin fakkaatu.
ዛሬ ያንን ማድረግ ያለብን አይመስለኝም።,Har'a akkas gochuun nu barbaachisu natti hin fakkaatu.
ይህንን በራስህ ያደረግከው አይመስለኝም።,Kana kophaa waan goote natti hin fakkaatu.
ስራህን መተው ያለብህ አይመስለኝም።,Hojii kee dhiisuu qabda jedhee hin yaadu.
ችግሩ ምን እንደሆነ አልገባኝም።,Rakkoon maal akka ta'e naaf hin galle.
ምን እንደምትል አልገባኝም።,Waan ati jettu naaf hin galle.
ምን ማድረግ እንደምትፈልግ አልገባኝም።,Waan gochuu barbaaddu naaf hin galle.
ብዙውን ጊዜ እንዲህ ኣይነቱን መፅሀፍ አላነብም።,Yeroo baayyee kitaaba akkanaa hin dubbisu.
ምንም እንዲደርስብህ አልፈልግም።,Waan si mudatu hin barbaadu.
ለእነዚህ ጥያቄዎች መልስ መስጠት አልፈልግም።,Gaaffiiwwan sanaaf deebii kennuu hin barbaadu.
ህይወቴን በሙሉ ብቻዬን መሆን አልፈልግም።,Jireenya koo guutuu kophaa ta'uu hin barbaadu.
ካንተ ጋር ስናገር መታየት አልፈልግም።,Yeroon si waliin haasa'u natti mul'achuu hin barbaadu.
ከአንድ ኩባንያ ጋር መተሳሰር አልፈልግም።,Dhaabbata tokkotti hidhamuu hin barbaadu.
ከእነዚህ ነገሮች አንዱንም ማድረግ አልፈልግም።,Wantoota sana keessaa tokkollee hojjechuu hin barbaadu.
"ያንን ማድረግ አልፈልግም, ግን ማድረግ አለብኝ።","Ani akkas gochuu hin barbaadu, garuu gochuun qaba."
በሬን ተዘግቶ መተው አልፈልግም።,Balbala koo qulfii malee dhiisuu hin barbaadu.
ህይወቴን እንደዚህ መኖር አልፈልግም።,Jireenya koo akkasitti jiraachuu hin barbaadu.
እንደ እሱ ያለ ሰው ማክበር አልፈልግም።,Nama akka isaa kabajuu hin barbaadu.
እንደዚህ አይነት አደጋ መውሰድ አልፈልግም።,Balaa akkasii fudhachuu hin barbaadu.
ከእርስዎ ጋር ስለ ጉዳዩ ማውራት አልፈልግም።,Waa'ee kanaa si waliin haasa'uu hin barbaadu.
ስለ አየር ሁኔታ ማውራት አልፈልግም።,Waa'ee haala qilleensaa dubbachuu hin barbaadu.
ስለዚህ ጉዳይ ላናግርህ አልፈልግም።,Waa'ee kanaa isin haasofsiisuu hin barbaadu.
ከመጠን በላይ እንድትሰራ አልፈልግም።,Garmalee akka of dadhabdu hin barbaadu.
በእኔ ምክንያት እንድትተው አልፈልግም።,Sababa kootiin akka dhiiftu hin barbaadu.
ስለ እንደዚህ ኣይነት ነገሮች አልጨነቅም።,Waan akkasii hin yaadda'u.
በሀገሪቱ ውስጥ ፀጥ ያለ ህይወት አልም።,Jireenya tasgabbaa'aa biyyaa abjoodha.
አሁን በማንኛውም ቀን አብሮ ይመጣል ብዬ እጠብቃለሁ።,Amma guyyaa kamiyyuu akka waliin dhufu nan eega.
እራት ከመብላቴ በፊት ውሻዬን እመገባለሁ።,Irbaata nyaachuu koo dura saree koo nan nyaachisa.
እስካሁን ደሞዝ ስላልከፈልኩህ በጣም አዝኛለሁ።,Hanga ammaatti kaffaltii siif hin kaffalle jechuun natti dhagahama.
ዛሬ ማታ በማለዳ የመተኛት ያህል ይሰማኛል።,Halkan kana dafee ciisuun natti dhagahama.
ይህ በክፉ የሚያልቅ ሆኖ ይሰማኛል።,Kun akka waan hamaatti xumuramuuf deemu natti dhagahama.
እኔም እንደ አንተ ኣይነት ስሜት ይሰማኛል።,Anis akkuma kee natti dhagahama.
አንድ ሰው ትከሻዬ ላይ መታኝ እንዳለብኝ ተሰማኝ።,Namni tokko garba koo irratti na rukutee natti dhaga'ame.
አንዳንድ እገዛን መጠቀም እንደምትችል አስቤ ነበር።,Gargaarsa tokko tokko fayyadamuu akka dandeessu tilmaame.
ትናንት ማታ መፅሀፉን አንብቤ ጨረስኩ።,Galgala edaa kitaabicha dubbisee xumureera.
በእንግሊዝኛ ደብዳቤ ፅፌ ጨርሻለሁ።,Xalayaa Afaan Oromootiin barreessee xumure.
ቶም እንዳደርግ የጠየቀኝን ማድረግ ረሳሁ።,Waan Toom na gaafate gochuu dagadhe.
በባህር ዳርቻ ላይ አንድ የሚያምር ቅርፊት አገኘሁ።,Qarqara galaanaa irratti qola bareedaa tokkon argadhe.
የሚለውን ጥያቄ ለመመለስ ቀላል ሆኖ አግኝቼዋለሁ።,Gaaffii sana deebisuun salphaa natti ta'e.
እርዳታ ማግኘት አስፈላጊ ሆኖ አግኝቼዋለሁ።,Gargaarsa argachuun barbaachisaa ta'ee natti mul'ate.
ከመቀስ በቀር ምንም አላገኘሁም።,Miciree tokko malee homaa hin arganne.
ፍራፍሬ በርካሽ የት እንደምገዛ ተረዳሁ።,Fuduraalee gatii salphaadhaan eessaa akkan bitadhu argadhe.
የምትፈልገውን ፎቶ አግኝቼዋለሁ።,Suuraa ati barbaaddu argadhe.
ደስተኛ የልጅነት ጊዜዬን ደጋግሜ አስታውሳለሁ።,Ijoollummaa koo isa gammachuu qabu yeroo baayʼee nan yaadadha.
ለሁሉም ደንበኞች ቅናሽ ሰጠሁ።,Maamiltoota hundaaf hir'ina gatii kenneera.
ያለኝን ትንሽ ገንዘብ ለልጁ ሰጠሁት።,Maallaqa xiqqoo qabu gurbichaaf kenne.
በማደርገው ነገር ሁሉ በፍጥነት እደክማለሁ።,Waan hojjedhu hunda keessatti dafee nan nuffisiisa.
በአመት ሁለት ጊዜ ወደ አባቴ ቦታ እሄዳለሁ።,Waggaatti al lama bakka abbaa koo nan deema.
ትላንት ማታ ወደ ቤት ስሄድ ተደብቄ ነበር።,Halkan edaa gara manaatti osoon deemaa jiruu saamichaan na mudate.
ለስድስት ሰኣት ትርኢት ትኬቶችን አግኝቻለሁ።,Agarsiisa sa'aatii jahaa kanaaf tikkeettii argadhe.
ይህ ለአንተ ብዙም ትርጉም እንደማይሰጥ እገምታለሁ።,Sun siif hiika guddaa hin qabu jedheen tilmaama.
በደንብ እንዳልተረዱኝ እገምታለሁ።,Ati sirriitti na hin hubanne jedheen tilmaama.
በአስራ ሁለት ኣመቴ ወድጄሃለሁ።,Umuriin koo waggaa kudha lamaa sitti jaalladheen ture.
በጉዞዬ ላይ አስደሳች ተሞክሮ ነበረኝ።,Imala koo irratti muuxannoo nama gammachiisu argadheera.
ከዚያ ለመውጣት በቂ ስሜት ነበረኝ።,Achi keessaa ba'uuf miira gahaa qabadheen ture.
ይህ የእጅ አምባር እንደተሰረቀ አላውቅም ነበር።,Mi'a harkaa kun akka hatame yaada tokkollee hin qabu ture.
ከተፈጠረው ነገር ጋር ምንም ግንኙነት አልነበረኝም።,Waan ta'e kanaan waanan wal qabatu hin qabu ture.
በአጭሩ ንግግር ማድረግ ነበረብኝ።,Yeroo gabaabaa keessatti haasaa gochuun qaba ture.
ሁሉንም እጠላለሁ፣ እና ሁሉም ይጠላሉ።,"Nama hunda nan jibba, namni hundis na jibba."
በቦርሳዬ ውስጥ አንድ የቢራ ጠርሙስ አለኝ።,Borsaa dugda koo keessaa qaruuraa biiraa tokkon qaba.
በእግሬ ጫማ ላይ callus አለኝ።,Miila koo irratti callus qaba.
ሰኞ የጥርስ ሀኪም ቀጠሮ አለኝ።,Isniina beellama ogeessa ilkaan qaba.
መታጠቢያ ቤት ውስጥ የመጀመሪያ እርዳታ መስጫ መሳሪያ አለኝ።,Mana fincaanii keessatti meeshaa gargaarsa jalqabaa qaba.
ለዛ የሚቻለው ማብራሪያ አለኝ።,Sanaaf ibsa ta'uu danda'u qaba.
እሱን ለመረዳት እቸገራለሁ።,Isa hubachuuf rakkadheera.
ለዛ ጊዜም ገንዘብም የለኝም።,Sanaaf yeroos maallaqas hin qabu.
በአንድ ትልቅ ከተማ ውስጥ ለመኖር ምንም ፍላጎት የለኝም።,Magaalaa guddittii keessa jiraachuuf hawwii hin qabu.
እኔ እራሴን ብቻ ነው የሚወቅሰው።,Ani ofii koo qofa komachuu qaba jedheen yaada.
የምነግርህ ጠቃሚ ነገር አለኝ።,Waan barbaachisaa tokkon isinitti himuu qaba.
ካንተ ጋር የማወራው ነገር አለኝ።,Waan si waliin haasa'u qaba.
ስለሱ እንደተጨነቅኩ መቀበል አለብኝ።,Waa'ee kanaa akkan yaadda'e amanuu qaba.
ለዚያ ስራ ብዙ ወንዶች መመደብ አለብኝ።,Hojii sanaaf dhiirota dabalataa ramaduu qaba.
የመኪናዬን ባትሪ መሙላት አለብኝ።,Baatirii konkolaataa koo chaarjii gochuun qaba.
ከመጨለሙ በፊት ወደ ቤት መሄድ አለብኝ።,Osoo hin dukkanaa'in mana ga'uun qaba.
በጣም ትንሽ በሆነ ገቢዬ መኖር አለብኝ።,Galii baayyee xiqqaa ta'een jiraachuu qaba.
ይህንን ደብዳቤ በፖስታ ለመላክ ማስታወስ አለብኝ።,Xalayaa kana poostaadhaan erguu yaadachuu qaba.
ቢያንስ አንድ ጊዜ ይህን ለማድረግ መሞከር አለብኝ።,Yoo xiqqaate al tokko sana gochuuf yaaluun qaba.
ለተወሰነ ጊዜ ኮንሰርት አልሄድኩም።,Yeroo muraasaaf konsartii hin dhaqne.
ሀሳቡን ሙሉ በሙሉ አልተውኩትም።,Yaada kana guutummaatti hin dhiisne.
ትርጉሙን እስካሁን አልጨረስኩትም።,Hiikkaa hanga ammaatti hin xumurre.
ለአንድ ሳምንት ያህል ካሬ ምግብ አልበላሁም።,Torban tokkoof nyaata iskuwaaraa hin nyaanne.
እሱን የማግኘት ክብር አላገኘሁም።,Kabaja isa waliin wal arguu hin arganne.
አንድም ዘፈኑን አልሰማሁም።,Sirba isaa tokkollee hin dhaggeeffanne.
ከእነዚህ ውስጥ አንዱን ለዘላለም አላየሁም።,Kanneen keessaa tokko bara baraan keessa hin argine.
እነዚህን ምስሎች ለኣመታት አላየሁም።,Suuraalee kana waggootaaf hin argine.
በዛ ሁሉ በረዶ ስር እንደተቀበረ እሰማለሁ።,Qorqorroo sana hunda jalatti awwaalamee akka jiru nan dhaga'a.
ቶም ማርያምን ማግኘት እንዳለበት ሲናገር ሰምቻለሁ።,Toom Meerii barbaaduu akka qabu yeroo dubbatu dhaga'eera.
ወላጆቼን በቤት ስራ ረድቻለሁ።,Hojii manaa irratti warra koo nan gargaara ture.
ቶም እና ማርያም እንደማይታሰሩ ተስፋ አደርጋለሁ።,Toomii fi Meerii akka hin hidhamne abdiin qaba.
ሱቃችን እንደማይበላሽ ተስፋ አደርጋለሁ።,Dukkaanni keenya akka hin mancaafamne abdiin qaba.
ገና በገና እንደማገኝህ ተስፋ አደርጋለሁ።,Yeroo ayyaana masqalaa akkan isin arguu danda'u abdiin qaba.
እውነት የሆነው ያ እንዳልሆነ ተስፋ አደርጋለሁ።,Dhuguma akkas akka hin taane abdiin qaba.
ይህ ጉዞ ጊዜ ማባከን እንዳልሆነ ተስፋ አደርጋለሁ።,Imalli kun yeroo qisaasuu akka hin taane abdiin qaba.
ቤታችንን መሸጥ እንደሌለብን ተስፋ አደርጋለሁ።,Mana keenya gurguruun akka nu hin barbaachifne abdiin qaba.
ትልቅ ስህተት እንደማንሰራ ተስፋ አደርጋለሁ።,Dogoggora guddaa akka hin hojjenne abdiin qaba.
ቀደም ብዬ ብሄድ ቅር እንደማይልህ ተስፋ አደርጋለሁ።,Yoon dafee ba'e akka isin hin dhibne abdiin qaba.
መልካም የገና በኣል እንዲሆንላችሁ ተስፋ አደርጋለሁ።,Ayyaana masqalaa baayyee baga gammaddan jedheen abdadha.
አብራችሁ በጣም ደስተኛ እንደሆናችሁ ተስፋ አደርጋለሁ።,Lamaan keessan baay'ee akka waliin gammaddan abdiin qaba.
ባቡሩ እንዳያመልጠኝ ቸኮልኩ።,Baabura akkan hin darbineef ariifadhe.
ዜናውን ስሰማ በደስታ ዘለልኩ።,Oduu kana dhaga'een gammachuun utaale.
በቃ ምንም እድል መውሰድ አልፈልግም ነበር።,Carraa tokkollee fudhachuu qofa hin barbaanne.
እንዲያው እንዲያስታውሰኝ አልፈልግም።,Ani akkan yaadachiifamu qofa hin barbaadu.
አሁን ያንን ማድረግ አልፈልግም።,Yeroo ammaa kana qofa akkas gochuu hin barbaadu.
ተስፋህን ማሳደግ አልፈልግም።,Abdii keessan ol kaasuu qofa hin barbaadu.
ጉንፋን እንዲይዝህ ብቻ አልፈልግም።,Qorqorroo koo akka qabattu qofa hin barbaadu.
ውሻህን በቤቴ አልፈልግም።,Saree kee mana koo keessa qofa hin barbaadu.
ትንሽ ማዞር ተሰማኝ። ይሄው ነው።,Xiqqoo garaan natti mar'achuu qofatu natti dhaga'ame. Kana qofa.
ችግሩ ምን እንደሆነ ብቻ ነው የገባሁት።,Rakkoon jiru maal akka ta'e qofan hubadhe.
ጥቂት ጥያቄዎችን ልጠይቅህ ብቻ ነው።,Gaaffii muraasa qofa isin gaafachuu barbaada.
በደህና ወደ ቤት መግባት ብቻ ነው የምፈልገው።,Nagaa fi fayyaa ta'ee mana ga'uu qofan barbaada.
ለእርዳታዎ ብቻ ላመሰግናችሁ እፈልጋለሁ።,Gargaarsa nuuf gootaniif qofa galateeffachuu barbaada.
ምን ያህል እንዳሳዝነኝ እንድታውቅ ብቻ ነው የምፈልገው።,Hammam akkan gadde akka beektu qofan barbaada.
ይቅርታ እንድታውቅ ብቻ ነው የምፈልገው።,Dhiifama akkan godhu akka beektu qofan barbaada.
ትክክል መሆኔን ማረጋገጥ ብቻ ነው የፈለኩት።,Sirrii ta'uu koo mirkaneeffachuu qofan barbaade.
ቶም የፍቅር ነገር እንደሚያደርግ አውቅ ነበር።,Toom waan jaalalaa akka hojjetu nan beeka ture.
እንደምቀጣ አውቃለሁ።,Adabamuuf akkan jiru nan beeka ture.
የሚበላ ነገር እንደሚኖር አውቃለሁ።,Wanti nyaatamu akka jiraatu nan beeka ture.
የሆነ ነገር ልታሳየኝ እንደምትፈልግ አውቄ ነበር።,Waan tokko natti agarsiisuu akka barbaaddu nan beeka ture.
ፈጥነህ ወይም ዘግይተህ እንደምትመለስ አውቃለሁ።,Yeroo gabaabaa keessatti akka deebitu nan beeka ture.
በእያንዳንዳችሁ ላይ መተማመን እንደምችል አውቃለሁ።,Tokkoon tokkoon keessan irratti lakkaa'uu akkan danda'u nan beeka.
ትናንት ያንን ማድረግ እንዳለብኝ አውቃለሁ።,Kaleessa akkas gochuu akkan qabu nan beeka.
ቶም እና ሜሪ ጓደኛ እንደነበሩ አውቃለሁ።,Toomii fi Meerii dur michoota akka turan nan beeka.
አባቷ ጠበቃ የሆነች ልጅ አውቃለሁ።,Shamarree abbaan ishee ogeessa seeraa ta'e tokkon beeka.
ከምታውቁት በላይ ስለእናንተ አውቃለሁ።,Waa'ee kee waan ati hubattu caalaa beeka.
ለፓርቲያችን ምቹ ቦታ አውቃለሁ።,Bakka dhaaba keenyaaf mijataa ta'e nan beeka.
እርስ በርሳቸው እንደሚዋደዱ አውቃለሁ።,Jaalalaan akka wal jaallatan nan beeka.
ያደረከው ሆን ተብሎ እንዳልሆነ አውቃለሁ።,Wanti ati goote itti yaadee akka hin taane nan beeka.
የፖሊስ ኢንስፔክተሩን ማን እንደገደለው አውቃለሁ።,Inspeektara poolisii eenyu akka ajjeese nan beeka.
መደረግ ያለበትን እንደምታደርግ አውቃለሁ።,Waan hojjetamuu qabu akka hojjettu nan beeka.
በቦስተን ውስጥ ብዙ ጥሩ ጓደኞችን ትቻለሁ።,Hiriyyoota gaarii hedduu Boston keessatti dhiiseen deeme.
ቆንጆ እና አስተዋይ ሴቶችን እወዳለሁ።,Dubartoota babbareedoo fi sammuu qaban nan jaalladha.
ወይን እወዳለሁ፣ ግን ብዙ መብላት አልችልም።,"Wayinii nan jaalladha, garuu hamma kana nyaachuu hin danda'u."
አዳመጥኩ ግን ምንም ድምፅ መስማት አልቻልኩም።,Dhaggeeffadhee garuu sagalee tokkollee dhagahuu hin dandeenye.
እየሰራሁ ሬዲዮን አዳመጥኩ።,Osoon hojjedhu raadiyoo dhaggeeffadha ture.
ቃሉን መዝገበ ቃላት ውስጥ ተመለከትኩት።,Jecha sana galmee jechootaa keessaa ol ilaale.
ቃሉን መዝገበ ቃላት ውስጥ ተመለከትኩት።,Jecha galmee jechootaa keessaa barbaadeen ture.
እዚህ አካባቢ የሆነ ቦታ ቦርሳዬን አጣሁ።,Borsaa koo bakka tokkotti naannoo kanaa dhabe.
ለጥፋቷ የበለጠ እወዳታለሁ።,Badii isheetiin caalaatti ishee jaalladha.
ከቦታው ጋር ያደረጋችሁትን ወድጄዋለሁ።,Waan ati bakka sanaan hojjette baay'een jaalladha.
ከልቤ እወድሃለሁ።,Garaa koo irraan si jaalladha.
ትናንት በባንክ ተቀማጭ ገንዘብ አደረግሁ።,Kaleessa baankii keessatti maallaqa galcheera.
ገንዘብ አለመበደርን ህግ አደርጋለው።,Maallaqa gonkumaa akka hin liqeessine seera nan godha.
ለንደን ውስጥ አንድ የድሮ ተማሪዬን አገኘሁ።,Barattuu koo durii tokkoon Landanitti wal barre.
ለመጀመሪያ ጊዜ ለንደን ውስጥ አገኘኋት።,Yeroo jalqabaaf Landanitti ishee waliin wal barre.
በፓሪስ እያረፍኩ ነው ያገኘሁት።,Osoon Paaris keessa turu isa waliin wal barre.
ወደ ቤት ስሄድ ከጓደኞቼ አንዱን አገኘሁት።,Hiriyyoota koo keessaa tokkoon osoon gara manaatti deebi'aa jiruun wal barre.
አውቶቡስ ናፍቆኝ ስለነበር እዚህ መሄድ ነበረብኝ።,"Otobusii koo waanan dhabeef, asitti miilaan deemuun narra ture."
የኮንሰርቱ የመጀመሪያ ክፍል ናፈቀኝ።,Kutaa jalqabaa konsartii sanaa na jalaa hafe.
በተቻለ ፍጥነት ማጠናቀቅ አለብኝ።,Dafee xumuruun qaba.
በሆስፒታል ውስጥ ጓደኛዬን መጎብኘት አለብኝ።,Hiriyaa koo hospitaala jiru daawwachuun qaba.
በዚህ ጉዳይ ላይ ተጨማሪ መረጃ እፈልጋለሁ።,Dhimma kana irratti odeeffannoo dabalataa na barbaachisa.
ስብስቤን ለመጨረስ ይህን እፈልጋለሁ።,Kuusaa koo guutuuf kana na barbaachisa.
በዚያ ምሽት ያዩትን ማወቅ አለብኝ።,Halkan sana maal akka argite beekuu qaba.
አንተን ከማግኘቴ በፊት እንደዚህ አይነት ስሜት ተሰምቶኝ አያውቅም።,Osoo siin wal hin argin dura akkas natti dhaga'amee hin beeku.
አንተን በማንኛውም አደጋ ውስጥ ልጥልህ አስቤ አላውቅም።,Balaa kamiyyuu si galchuuf jedhee hin beeku.
ለቶም የይለፍ ቃሌን መንገር አልነበረብኝም።,Gonkumaa jecha icciitii koo Toomitti himuu hin qabu ture.
ዳግመኛ አገኝሃለሁ ብዬ አስቤ አላውቅም።,Lammata si argu jedhee yaadee hin beeku.
በዚህ ያበቃል ብዬ አስቤ አላውቅም።,Akkasitti xumurama jedhee yaadee hin beeku.
ስለ ጉዳዩ ለማንም ተናግሬ አላውቅም፣ እምላለሁ።,Waa'ee kanaa eenyutti iyyuu himee hin beeku jedheen kakadha.
ችግር ውስጥ ስትገባ ማየት በፍፁም አልፈልግም።,Rakkoo keessa akka galtu gonkumaa arguu hin barbaadu.
እንደ ልጅ መቆጠርን እቃወማለሁ።,Akka daa'imaatti ilaalamuu nan morma.
በወጣትነቴ ብዙ ጊዜ እግር ኳስ እጫወት ነበር።,Yeroo baayʼee yeroon xinnoo turetti kubbaa miilaa nan taphadha ture.
በወጣትነቴ ብዙ ጊዜ ቴኒስ እጫወት ነበር።,Yeroo baayʼee yeroon dargaggeessa turetti teenisii nan taphadha ture.
ሙዚቃ እያዳመጥኩ ብዙ ጊዜ አጠናለሁ።,Yeroo baayʼee muuziqaa dhaggeeffadheen qoʼadha.
ብዙ ጊዜ ባገኝህ እመኛለሁ።,Yeroo baayyee si arguu qofan hawwa.
እኔ በግሌ ልክ ነህ ብዬ አምናለሁ።,Ani akka dhuunfaatti akka ati sirrii dubbatte nan amana.
ከሴት ጓደኛዬ ጋር በበረዶ ላይ ለመንሸራተት እቅድ አለኝ።,Jaalallee koo waliin iskii gochuuf karoorfadheera.
በሩን ደበደብኩት፣ ግን ማንም አልመጣም።,"Balbala rukute, garuu namni hin dhufne."
በአውቶቡስ ከመሄድ በእግሬ መሄድን እመርጣለሁ።,Otobusii deemuun miilaan deemuun filadha.
ከጥንቃቄ ጎን መሳሳት እመርጣለሁ።,Gama of eeggannootiin dogoggora hojjechuu nan filadha.
ይህ ዳግም እንደማይሆን ቃል እገባለሁ።,Kun lammata akka hin taane waadaa nan gala.
ለወላጆቼ እንደማልጠጣ ቃል ገባሁላቸው።,Warra kootti akkan hin dhugne waadaa gale.
አውቶቡሱ ውስጥ ከአንድ ጓደኛዬ ጋር ሮጥኩ።,Otobusii keessatti hiriyyaa koo tokkoon wal arge.
ከትናንት የበለጠ ዛሬ አነባለሁ።,Kaleessa caalaa har'a dubbise.
ይህንን መፅሀፍ ያነበብኩት ኮሌጅ እያለሁ ነው።,Kitaaba kana yeroon kolleejjii ture dubbise.
ይህ ችግር በእውነት አልገባኝም።,Dhuguma rakkoon kun naaf hin galle.
በእውነት ወደ እስር ቤት መመለስ አልፈልግም።,Dhuguma mana hidhaatti deebi'uu hin barbaadu.
በእውነት ስለዚህ ጉዳይ ማውራት አልፈልግም።,Dhuguma waa'ee kanaa dubbachuu hin barbaadu.
ታናሽ እህቷን በጣም እወዳታለሁ።,Obboleettii ishee quxisuu baay'een jaalladha.
እኔ በግል ላናግርህ እፈልጋለሁ።,Dhuguma dhuunfaan si waliin haasa'uun na barbaachisa.
የልጅነት ጊዜዬን እያነሰ እና እያነሰ አስታውሳለሁ።,Ijoollummaa koo xiqqaachaa dhufeera.
አንድ ጊዜ ወይም ሁለት ጊዜ እንደጠቀስኩት አስታውሳለሁ።,Yeroo tokko lama kaasuun koo nan yaadadha.
ባለፈው ቀን የተናገርከውን አስታውሳለሁ።,Waan ati guyyaa tokko jette nan yaadadha.
አስታውስሀለሁ። ከሶስት ኣመታት በፊት ተገናኘን።,Si yaadadha. Waggaa sadii dura wal barre.
ሊኖረኝ የማይገባ ነገር ተናገርኩ።,Waan qabaachuu hin qabne dubbadhe.
በዋሻው መጨረሻ ላይ ብርሃን አየሁ።,Dhuma tuneelichaa irratti ifa tokkon arge.
መኪናው ወደ ቀኝ ሲታጠፍ አየሁ።,Konkolaataan isaa gara mirgaatti akka garagalu arge.
በየአመቱ ለቶም የገና ካርድ እልካለሁ።,Waggaa waggaan kaardii ayyaana masqalaa Toomiif nan erga.
በቫለንታይን ቀን ማርያም አበቦችን ላክሁ።,Guyyaa jaalalaa Maariyaamiif daraaraa ergeen ture.
ከሁለት ጓደኞቼ ጋር አንድ ቤት እጋራለሁ።,Hiriyyoota koo lama waliin mana tokko waliin jiraadha.
ሪፖርቴን ወደ መፃፍ ልመለስ።,Gabaasa koo barreessuutti deebi'uu qaba.
ምናልባት ይህንን ፅፌ መሆን አለብኝ።,Kana barreessuu hin oolu.
ምናልባት አሁን ወደ ስራ ልመለስ።,Amma hojiitti deebi'uu hin oolu.
ትንሽ ታጋሽ መሆን ነበረብኝ።,Silaa xiqqoo obsuu qaba ture.
ስለዚያ ቀደም ብዬ ማሰብ ነበረብኝ።,Silaa kanaan dura waa'ee kanaa yaaduu qaba ture.
ማርያምን እንደምወዳት ልነግራት ይገባ ነበር።,Silaa akkan ishee jaalladhu Maariyaamitti himuu qaba ture.
ዛሬ ከሰአት በኋላ የእንግሊዘኛ ክፍልን ዘለልኩ።,Har'a waaree booda kutaa Afaan Ingiliffaa darbeera.
ተንሸራትቼ በበረዶው የእግረኛ መንገድ ላይ ወደቅኩ።,Anis siqsee daandii miillaa qorraan guutame irratti kufe.
ትናንት አዲስ መፅሀፍ መፃፍ ጀመርኩ።,Kitaaba haaraa barreessuu eegale kaleessa.
መጥፎ ጉንፋን ስላለኝ ቤት ቀረሁ።,Qorqorroo hamaa waanan qabuuf manaan hafe.
ሲጋራ እንዳጨስ አቆምኩ።,Sigaaraa akkan xuuxuuf jedheen dhaabadhe.
ከሰአት በኋላ ለጥቂት ጊዜ አጠናሁ።,Waaree booda yeroo muraasaaf baradhe.
በየቀኑ ለግማሽ ሰኣት ያህል እንግሊዝኛ አጥናለሁ።,Guyyaa guyyaan walakkaa sa'aatii Afaan Ingilizii nan baradha.
ምን እየሆነ እንዳለ በድንገት ገባኝ።,Akka tasaa waan ta'aa jiru hubadhe.
ከዚህ በላይ እንዳይጠብቁ እመክራለሁ።,Kana booda akka hin eegne yaada kooti.
አንዳንድ ንፁህ ልብሶችን እንድንለብስ ሀሳብ አቀርባለሁ።,Uffata qulqulluu tokko tokko akka uffannu yaada kooti.
እቅዱ እንዲራዘም ሀሳብ አቀረብኩ።,Karoorri sun akka yeroo biraatti akka darbu yaada dhiheesse.
ትንሽ ረዘም ላለ ጊዜ መጠበቅ እችል ነበር ብዬ አስባለሁ።,Xiqqoo eeguu nan danda'a jedheen yaada.
እንደዚያ አይነት ነገር ያስደስትዎታል ብዬ አስባለሁ።,Waan akkasii sitti tola jedheen yaada.
የነገርከኝን ልጅ አነጋገርኳት።,Intala ati natti himte sanaan haasa'e.
ዛሬ ከሰአት በኋላ መምጣት የምችል ይመስለኛል።,Har'a waaree booda dhufuu nan danda'a jedheen yaada.
ያንን ፋይል በስህተት የሰረዝኩት ይመስለኛል።,Faayila sana dogoggoraan waanan haqe natti fakkaata.
ያንን መቋቋም የምችል ይመስለኛል።,Sana wajjin wal'aansoo qabachuu nan danda'a jedheen yaada.
በሚቀጥለው ሳምንት መጨረሻ ወደ ቦስተን የምሄድ ይመስለኛል።,Dhuma torbee dhufu gara Boston nan deema jedheen yaada.
ቶም ካንተ ብዙ መማር የሚችል ይመስለኛል።,Toom waan baay'ee si irraa barachuu danda'a jedheen yaada.
ቶም ትንሽ በጣም ብሩህ ተስፋ ያለው ይመስለኛል።,Toom xiqqoo garmalee abdii qaba jedheen yaada.
ቶም አሁንም ከማርያም ጋር ፍቅር ያለው ይመስለኛል።,Toom ammallee jaalala Maariyaam qaba jedheen yaada.
ቶም የሆነ ነገር ሊሸጥልን የሚፈልግ ይመስለኛል።,Toom waan tokko nutti gurguruu barbaada jedheen yaada.
ያን ያህል ከባድ አይሆንም ብዬ አስባለሁ።,Akkas hin ulfaatu jedheen yaada.
ንፁህ የምመጣበት ጊዜ አሁን ይመስለኛል።,Yeroon ani qulqulluu ta'ee dhufu ga'eera jedheen yaada.
ወደ ጎን የምሄድበት ጊዜ አሁን ይመስለኛል።,Yeroon ani gara cinaatti tarkaanfadhu amma jedheen yaada.
አንዳንድ ለውጦችን የምናደርግበት ጊዜ ይመስለኛል።,Yeroon jijjiirama tokko tokko itti goonu amma jedheen yaada.
ብዙ ሰዎች ፍላጎት ይኖራቸዋል ብዬ አስባለሁ።,Namoonni hedduun fedhii ni qabaatu jedheen yaada.
