Amharic	English	Afan Oromo
ቤቴ ፈርሷል።	My house is broken.	Manni koo diigameera.
ከሰአት በኋላ ችግሩን ተወያይተናል።	We discussed the problem in the afternoon.	Waaree booda guutuu rakkoo kana irratti mari'anne.
ቶም ችላ እንድለው ነገርኩት።	I told Tom to ignore it.	Toomiin akka tuffatu itti hime.
ወንዙን ለመዋኘት ያደረገው ሙከራ አልተሳካም።	His attempt to swim the river was unsuccessful.	Laga kana daakee ce'uuf yaaliin godhe hin milkoofne.
አያትህን ታስታውሳለህ።	You remember your grandmother.	Akaakayyuu kee ni yaadattaa.
ከማን ጋር ተገናኘህ?	Who did you meet?	Eenyu waliin wal argite?
ድርድሩ እየተጠናከረ ነው።	The negotiations are intensifying.	Mariin gaggeeffamaa jira.
ፈረንሳይኛ አትናገርም።	You don't speak French.	Afaan Faransaayii hin dubbattu.
አይሰራም።	It doesn't work.	Hin hojjetu.
ማንኛውም ሰው ታዋቂ ሊሆን ይችላል።	Anyone can be famous.	Namni kamiyyuu beekamaa ta'uu danda'a.
ቶምን ትወዳለች።	She loves Tom.	Toom ni jaallatti.
ቶም ከእድሜው የበለጠ ይመስላል።	Tom looks older than his age.	Toom umrii isaa kan caalu fakkaata.
አሁንም እዚህ በመሆናችሁ ደስተኛ ነኝ።	I'm glad you're still here.	Ammallee as jiraachuu keessanitti gammadeera.
እውነት እየተናገርክ መሆኑን እንደት አውቃለሁ።	I know you are telling the truth.	Dhugaa dubbachaa akka jirtu akkamittan beeka.
ቶም አመነታ።	Tom hesitated.	Toom duubatti jedhe.
ይህን ማሳካት ይቻላል።	This can be achieved.	Sun galma gahuu danda'aa.
በፍርሃት ተያዘ።	He was seized with fear.	Sodaadhaan qabame.
ቶም ማርያም እንድትነዳ ለማሳመን ሞከረ።	Tom tries to convince Mary to drive.	Toom Maariyam akka konkolaataa ooftuuf amansiisuuf yaale.
ምናልባት መጠበቅ አይኖርብን ይሆናል።	Maybe we don't have to wait.	Tarii eeguun nu hin barbaachisu ta'a.
ፊቱ ላይ ምንም አይነት ቀለም አልነበረም ማለት ይቻላል።	There was almost no color on his face.	Fuula isaa irratti halluun tokkollee hin turre jechuun ni danda'ama.
ቶም የመኪናውን ሬድዮ አበራ።	Tom turned on the car radio.	Toom raadiyoo konkolaataa qabsiise.
ከጀርባወ ምን ደበቅከው?	What are you hiding behind?	Dugda kee duuba maal dhoksite?
የወርቅ መቀርቀሪያወቹን እዚህ የቀበረው ማን ነው?	Who buried the gold bars here?	Eenyuutu asitti awwaalee warqee?
ቤከን ሸተተኝ።	I smelled bacon.	Baakoon natti urgaa'e.
ከእርስወ ጋር እጫወታለሁ።	I play with you.	Si waliin taphadha.
በስምንት ሰአት ይተኛል።	He sleeps at eight o'clock.	Sa'aatii saddeetitti ciisa.
ቶም ምን ማድረግ ፈለገ?	What did Tom want to do?	Toom maal gochuu barbaade?
ቤት ስገባ በጣም ረሃብ ተሰማኝ።	When I got home, I felt very hungry.	Yeroon gara manaatti deebiʼu baayʼee beelli natti dhagaʼame.
እሱ በጣም ዋጋ ያለው የእጅ ሰአት አለው።	He has a very expensive wristwatch.	Sa'aatii harkaa baayyee gatii guddaa qabu qaba.
ቶም የተሻለ ትርፍ መቶኛ ይፈልጋል።	Tom wants a better profit percentage.	Toom bu'aa argamu keessaa dhibbeentaa fooyya'aa barbaada.
ላም እንደት ታጠባዋለህ።	You milk him like a cow.	Akkamitti sa'a elmuu.
ያንተ ናቸው።	They are yours.	Isaan kan keeti.
ከሚስቱ በእጥፍ ይከብዳል።	He is twice as heavy as his wife.	Inni haadha manaa isaarra dachaa lama ulfaata.
አስቀድሜ አወ አልኩኝ።	I already said aww.	Duraan eeyyee jedheen ture.
መኪናወን ከዚያ አከፋፋይ አይግዙ። አይነ ስውር ይዘርፋሉ።	Don't buy a car from that dealer.They rob the blind.	Konkolaataa kee bakka gurgurtaa sana irraa hin bitatin. Jaamaa saamu.
እንዳታጨስ መከረችው።	She advised him not to smoke.	Tamboo akka hin xuuxne gorsite.
ዝግጁ አልነበርንም።	We were not ready.	Qophii hin turre.
በቤቱ ውስጥ የልብስ ማጠቢያ ማሽን አለ።	There is a washing machine in the house.	Maashiniin miiccaa mana keessa jiraa.
አረጋውያንን ማክበር አለብወት።	You should respect the elderly.	Maanguddoota kabajuu qabda.
በእነዚያ ቀናት ቀደም ብየ ተኛሁ።	I went to bed early on those days.	Guyaa sanatti dursee ciiseen ture.
ሰላሳ ደቂቃ ብቻ ከተሰጠን ሁሉንም ጥያቄወች መመለስ አልቻልንም።	Given only thirty minutes, we could not answer all the questions.	Daqiiqaa soddoma qofa yoo nuuf kennamee gaaffii hunda deebisuu hin dandeenye.
የሚከተለውን ለውጥ ሃሳብ አቀርባለሁ።	I propose the following change.	Jijjiirama armaan gadii kana yaada nan dhiheessa.
ይቅርታ፣ እኔ በእርግጥ ነኝ።	Sorry, I really am.	Dhiifama, dhugumaan jira.
ቶም አርቲስት ነው።	Tom is an artist.	Toom artistiidhaa.
በሚቀጥለው ወር ናራን እንደሚጎበኝ ነገረኝ።	He told me that he will visit Nara next month.	Ji'a dhufu Nara akka daawwatu natti hime.
ቀሚሴ ከፅዳት ሰራተኛው ሲመለስ ተበላሽቷል።	My dress was ruined when it came back from the cleaners.	Uffanni koo qulqulleessituu irraa yeroon deebi'u manca'e.
ይህ መረጃ ለህዝብ እንድገለፅ የምር ይፈልጋሉ።	They really want this information to be disclosed to the public.	Dhuguma odeeffannoon kun akka ummataaf ifa ta'u barbaadduu.
የሚኖረው በዚህ ጎዳና ነው።	He lives on this street.	Daandii kanarra jiraata.
ዛሬ ማታ ነፃ ነህ።	You are free tonight.	Halkan kana bilisa taatee.
እሷ የኮምፒውተር ፕሮግራመር ነች።	She is a computer programmer.	Isheen sagantaa kompiitaraa hojjettuudhaa.
የፀሃይ ብርሃንን ከአይኑ ላይ ለማጣራት እጁን ተጠቀመ።	He used his hand to filter the sunlight from his eyes.	Harka isaatiin ifa aduu ija isaa keessaa haxaa'e.
ያንን አትመልስ።	Don't answer that.	Sana hin deebisin.
ከዛፉ ላይ ወደቀ።	He fell from the tree.	Muka irraa kufe.
ቶም ከጎኑ ተኝቷል።	Tom is sleeping next to him.	Toom cinaacha isaatiin ciisee jira.
ቶም ይህን እንደማላደርግ የሚያውቅ አይመስለኝም።	I don't think Tom knows I don't do this.	Toom akkan akkas gochuun baay'ee rakkisaa ta'e waan beeku natti hin fakkaatu.
የእጅ አንጓ ላይ በጥፊ ተመትቸ ወረድኩ።	I went down with a slap on the wrist.	Harka kootti dha'ee bu'e.
ቶም ለየት ያለ አሰልች ይመስላል።	Tom looked exceptionally bored.	Toom haala adda ta'een nuffisiisaa fakkaata.
ፃፈው።	Write it down.	Barreessaa.
መግባት ትፈልጋለህ።	You want to enter.	Galuu barbaaddaa.
ከመጠን በላይ ክብደት አልነበረኝም።	I was not overweight.	Ulfaatina garmalee qabadhee hin beeku.
ይህን ሞቃታማ የአየር ሁኔታ መቋቋም አልችልም።	I can't stand this hot weather.	Kana booda qilleensa ho'aa kana obsuu hin danda'u.
እያደግን በሄድን ቁጥር የማስታወስ ችሎታችን እየደከመ ይሄዳል።	As we get older, our memory weakens.	Hamma umuriin keenya guddachaa deemuun yaadannoo keenya hiyyeessa ta'a.
ያንን ቀልድ ለረጅም ጊዜ ሰምቸው አላውቅም።	I haven't heard that joke in a long time.	Qoosaa sana yeroo dheeraaf hin dhageenye.
ገንዘብ ደስታን ሊገዛ አይችልም።	Money can't buy happiness.	Maallaqni gammachuu bitachuu hin danda'u.
ቶም ቆሻሻውን አወጣ።	Tom took out the trash.	Toom balfa sana baase.
ከመመለሳችሁ በፊት ከዚህ እወጣለሁ።	I'll be out of here before you come back.	Osoo ati hin deebi'in asii ba'a.
እሷም በእንባ መለሰች።	ERROR: The read operation timed out.	jettee imimmaanin deebifteef.
ማግባት የለብህም።	You don't have to get married.	fuudhuu hin qabdu.
የልጅነት ህመም አይነ ስውር አደረጋት።	A childhood illness left her blind.	Ijoollummaatti dhukkubni jaama ishee godhe.
በቁልፍ ሰሌዳየ ላይ ቡና ልፈስ ቀረሁ።	I almost spilled coffee on the keyboard.	Buna kiiboordii koo irratti dhangalaasuuf jedhe.
ቁልፍ አለኝ።	I have a key.	Furtuu qaba.
ጥሩ ዜና አለኝ።	I have good news.	Oduu gammachiisaa tokko tokkon qaba.
በጣም ጥሩው ክፍል እነሆ።	Here's the best part.	Kutaan inni gaariin kunooti.
እንደሚመጣ እርግጠኛ ነው።	It is sure to come.	Inni dhufuun isaa hin oolu.
ወደ እኔ መቅረብ ትችላለህ።	You can approach me.	Natti dhihaachuu dandeessaa.
የቶም አስቂኝ።	Tom's funny.	Tom's nama kofalchiisa.
እባክወን ከእኔ በኋላ ያንብቡ።	Please read after me.	Maaloo ana booda dubbisaa.
ቶም ወደ ሁለተኛ ደረጃ ትምህርት ቤት ይሄዳል።	Tom goes to high school.	Toom mana barumsaa sadarkaa lammaffaa deema.
ደብዳቤህ ከትናንት በፊት ደረሰኝ።	I received your letter the day before yesterday.	Xalayaan kee kaleessa guyyaa duraan naaf dhufe.
ከመካከላቸው የትኛው ወንድምህ ነው?	Which one of them is your brother?	Isaan keessaa obboleessi kee isa kami?
ርካሽ ዋጋ ካላቸው የውጭ ምርቶች ጋር መወዳደር እንደማይችሉ ይናገራሉ።	They say they cannot compete with cheaper foreign products.	Oomisha biyya alaa gatii xiqqaadhaan dorgomuu hin dandeenyu jedhu.
"ከእኔ ጋር መሄድ ትፈልጋለህ? ""ተወራረድክ!""።"	"""You bet you want to go with me.""."	"Na waliin deemuu ni barbaaddaa? ""buutee!""."
ስለ ጉዳዩ ምንም አልተናገርኩም።	I said nothing about it.	Dhimmicha irratti homaa hin dubbanne.
መቸ ነው የምንበላው?	Where do we eat?	Yoom nyaanna?
ማንም አይወደውም።	Nobody likes him.	Namni jaallatu hin jiru.
ካብ እንውሰድ።	Let's take a cab.	Waan fudhannu irraa.
ይህንን አቅም አንችልም።	We cannot afford this.	Nuti kana hin dandeenyu.
መኪና ተበድሬያለሁ።	I borrowed a car.	Konkolaataa liqeesseen jira.
አድስ የንግድ ካርዶች እፈልጋለሁ።	I need new business cards.	Kaardii daldalaa haaraa nan barbaada.
ግድግዳወች ጆሮ አላቸው።	Walls have ears.	Keenyan kun gurra qaba.
ብዙ ቡና ትጠጣለህ።	You drink a lot of coffee.	Buna baay'ee dhugda.
ባቡሩ በየሰላሳ ደቂቃው ይሰራል።	The train runs every thirty minutes.	Baaburri kun daqiiqaa soddoma hojjeta.
መስዋእትነት መክፈል አለብን።	We have to make sacrifices.	Wareegama kaffaluu qabna.
እኔ ሰላማዊ ሰው አይደለሁም።	I am not a peaceful person.	Ani nama fayyaa miti.
በጣም ረጅም ጊዜ ቆየ።	It lasted a very long time.	Yeroo Baayʼee dheeraa tureeraa.
እኔ ከእሱ ጋር ምንም እኩል አይደለሁም።	I am not equal to him.	Ani isa waliin wal hin gitu.
የትኛው የሃሪ ፖተር መፅሃፍ ነው የሚወዱት?	Which Harry Potter book do you like?	Kitaabni Haarii Pootar kamtu isin jaallata?
በዚህ ሳምንት በጣም ስራ በዝቶብኛል።	I have been very busy this week.	Torban kana baayyee hojiin natti baay'ateera.
እሱ ከጠበቀው በላይ አጭር ነበር።	It was shorter than he had expected.	Kan inni eege caalaa gabaabaa ture.
ይህን ውሳኔ ለማድረግ የምትፈልገው ሰው አይደለሁም።	I am not the person you want making this decision.	Murtoo kana murteessuuf nama barbaaddu miti.
ዶክተሩ አባቴን ማጨስን እንድያቆም መከረው።	The doctor advised my father to stop smoking.	Doktarri abbaan koo tamboo xuuxuu akka dhiisu gorse.
ወላጆቸ ለትዳሬ እንድስማሙ ማድረግ ችያለሁ።	I managed to get my parents to agree to my marriage.	Warri koo gaaʼela kootiif akka walii galan gochuu dandaʼeera.
ለወራት ጠንክረህ ሰርተሃል እና በእርግጠኝነት የበአል ቀን አግኝተሃል።	You've worked hard for months and you've definitely had a day off.	Ji'ootaaf cimtee hojjettee, guyyaa ayyaanatti argachuun kee hin oolu.
እኔ በእውነት እንግዳ እንደሆንኩ ማሰብ አለብህ።	You must think I'm really weird.	Ani keessummaa akkan ta'e yaaduu qabda.
ማን ነው የሚሄደው?	Who is going?	Eenyuutu deema?
ምን ያህል አደጋ ውስጥ እንዳሉ ያውቁ ነበር።	They knew how much danger they were in.	Balaa hangamii keessa akka jiran ni beeku turan.
ለምን እንድህ እንደተናደደች አላውቅም።	I don't know why she is so angry.	Maaliif akkas akka aarte yaada hin qabu.
ምስሉ ጥቁር እና ነጭ ነው።	The image is black and white.	Suuraan kun gurraachaa fi adiin kan hojjetamedha.
ለምን እንደመጣሁ ታውቃለህ ብየ አስባለሁ።	I think you know why I came.	Maaliif akkan as jiru waan beektu natti fakkaata.
በመኪናው ውስጥ እንጠብቅሃለን።	We will wait for you in the car.	Konkolaataa keessatti si eegna.
"ከእኛ ጋር ምሳ መብላት ይፈልጋሉ? ""እኔ ደስ ይለኛል, ግን ምንም ችግር ከሌለ ብቻ።""።"	"They want to have lunch with us. ""I'd love to, but only if there's no problem.""."	"Nu waliin laaqana nyaachuu barbaadduu? ""Ni jaalladha, garuu yoo rakkina hin qabu yoo ta'e.""."
እናቴ ወተቱን ቀመሰች።	My mother tasted the milk.	Harmeen koo aannan dhandhamte.
እስካሁን ከነሱ ምንም አልሰማንም።	We haven't heard anything from them yet.	Hanga ammaatti homaa isaan irraa hin dhageenye.
እነዚያ ምን ችግር አለባቸው?	What's wrong with those?	Warra sana maaltu isaan mudate?
ለጉዞ ጊዜውም ገንዘቡንም አልችልም።	I can neither afford the time nor the money to travel.	Yeroos taʼe qarshii imalaaf taʼu dandaʼu hin dandaʼu.
መቶ በመቶ ትክክል ነህ።	You are one hundred percent correct.	Dhibbaa dhibbatti sirrii dha.
ይህ ተአምር ነው።	This is a miracle.	Kun dinqiidha.
ይህ ቦታ ሁለት ጊዜ መጎብኘት ተገቢ ነው።	This place is worth visiting twice.	Bakki kun yeroo lama daawwachuun barbaachisaadha.
ለመሞት በጣም ትንሽ ነወት።	She's too young to die.	Ati xiqqaadha du'uuf.
እዚህ ላይ እውነተኛ ችግር አለብን።	We have a real problem here.	Asirratti rakkoo dhugaa qabna.
የእሱ ማብራሪያ ግልፅ አይደለም።	His explanation is not clear.	Ibsi inni kenne ifa miti.
ቶም ገና ሰላሳ ሞላው።	Tom just turned thirty.	Toom reefuu waggaa soddoma guute.
ለተፈጥሮ ሃብታችን የውጭ ሃገራት ጥገኛ ነን።	We are dependent on foreign countries for our natural resources.	Qabeenya uumamaa keenyaaf saba ormaa irratti hirkatna.
ምስጢሬን ማወቅ ትፈልጋለህ።	You want to know my secret.	Iccitii koo beekuu barbaaddaa.
የነፋሱ ንፋስ ከጣሪያው ላይ ብዙ ሰድሮችን ቀደደ።	A gust of wind tore several tiles off the roof.	Qilleensi cimaan kun, foddaa irraa tilmaama hedduu cicciree ture.
ጠበቆችን እጠላለሁ።	I hate lawyers.	Abukaatoo nan jibba.
ዛሬ ጥሩ ቀን ነው።	Today is a good day.	Har'a guyyaa gaarii dha.
አጭር መልሱ አወ ነው።	The short answer is yes.	Deebiin gabaabaan eeyyeedha.
ጓደኛህ መሆን አልፈልግም።	I don't want to be your friend.	Hiriyaa kee ta'uu hin barbaadu.
ቶም ስራ አጥ እንደሆነ ነገረኝ።	Tom told me he was unemployed.	Toom hojii dhabaa akka ta'e natti hime.
አባቱን በማጣቱ አዘነ።	He mourned the loss of his father.	Abbaa isaa waan dhabeef gaddi itti dhagahame.
በእውነት አውስትራሊያን ልናፍቀው ነው።	I am really going to miss Australia.	Dhuguma Awustiraaliyaa yaadufan jira.
ብርሃኑ ወደ አረንጓደ እስኪቀየር ድረስ ይጠብቁ።	Wait until the light turns to amber.	Hanga ifni gara magariisaatti jijjiiramutti eegaa.
አልተሳሳትኩም።	I wasn't wrong.	Ani hin dogoggorre.
ይህንን ተረድተናል።	We understand this.	Kana ni hubanneerra.
ቶም በአጠቃላይ ያጋጠመውን ሁኔታ በተጨባጭ በመገምገም ጥሩ ውሳኔወችን ያደርጋል።	Tom generally makes good decisions by assessing the situation objectively.	Toom akka waliigalaatti murtoo gaarii kan murteessu haala isa mudate haala qabatamaa taʼeen madaaluudhaani.
በዚያ ህንፃ የመጀመሪያ ፎቅ ላይ ነው።	It is on the first floor of that building.	Gamoo sana keessaa kutaa tokkoffaa irratti argama.
ይህ የአበባ ማስቀመጫ ከምን የተሰራ ነው?	What is this vase made of?	Teessumni daraara kun maalirraa hojjetame?
ቶም ተርጓሚ አይደለም።	Tom is not a translator.	Toom nama afaan hiiku miti.
ምን እንደሚያደርጉ አውቃለሁ።	I know what you do.	Waan isaan gochuuf deeman nan beeka.
ኩራትህን መዋጥ አለብህ።	You have to swallow your pride.	Of tuuluummaa kee liqimsuu qabda.
እንደታሰርኩ አላውቅም ነበር።	I didn't know I was arrested.	Akkan hidhame hin beekun ture.
ምናሌውን ማየት እችላለሁን?	Can I see the menu?	Menu ilaaluu nan danda'aa?
በሌላ ቀን ልታየው ሄደች።	She went to see him the other day.	Guyyaa tokko isa arguuf deemte.
እዚህ እንድትሆኑ እንመኛለን።	We wish you were here.	Osoo asitti argamtanii hawwina.
ቶም የሞተ ይመስለኛል።	I think Tom is dead.	Toom du'e natti fakkaata.
የአንተን ቲወሪ መቃወም ማለቴ አይደለም።	I don't mean to challenge your theory.	Tiyoorii kee mormuu jechuu koo miti.
ብዙውን ጊዜ እዚህ ምሽት ላይ ቀዝቃዛ ንፋስ አለ።	There is usually a cold wind here at night.	Yeroo baayyee galgala qilleensi qabbanaa'aan asitti ni jira.
ቀላል የእርስወን መበደር እችላለሁ።	I can easily borrow from you.	Xiqqoo naaf liqeessuu dandeessuu.
ምርጫው የአንተ ብቻ ነው።	The choice is yours alone.	Filannoon hundi sirratti hundaa'a.
እሱን መሳቂያ ማድረግ አልችልም።	I can't make him laugh.	Itti qoosuu dhiisuu hin danda'u.
ምናልባት ሄዶ ሊሆን ይችላል።	Maybe he's gone.	Duraanis deemee ta'uu danda'a.
አሁን እርምጃ መውሰድ አለብን።	We must act now.	Amma tarkaanfii fudhachuu qabna.
አጎቷን አገኘችው።	She met her uncle.	Adeera ishee waliin wal barte.
ማናችንም ብንበላም እስካሁን አልበላንም።	None of us have eaten yet.	Tokko keenyayyuu hanga ammaatti hin nyaanne.
ቶም ለገና ምን ጠየቀ?	What did Tom ask for Christmas?	Toom ayyaana Qilleef maal gaafate?
በእርግጥ ይህ አስፈላጊ ነው ብለው ያስባሉ።	Of course you think this is important.	Dhuguma sun barbaachisaa sitti fakkaataa.
ያንን ግምት ውስጥ ማስገባት አለብወት።	ERROR: The read operation timed out.	Sana tilmaama keessa galchuu qabda.
ሁላችንም ይራበናል፣ስለዚህ ለሁሉም የሚሆን በቂ ምግብ ማምጣትወን እርግጠኛ ይሁኑ።	We all get hungry, so make sure you bring enough food for everyone.	Hundi keenya ni beelofna, kanaaf nyaata nama hundaaf gahaa ta'e fiduu keessan hin dagatinaa.
በእንደዚህ አይነት ጥሩ ቀን ውስጥ በቤት ውስጥ መታደግ የሚፈልግ ማነው።	Who wants to be saved at home on such a good day.	Guyyaa gaarii akka kanaa eenyutu mana keessaatti guddachuu barbaada.
ቶም ለማርያም በፈረንሳይኛ የተፃፈ መልእክት ላከ።	Tom sent Mary a message written in French.	Toom ergaa afaan Faransaayiin barreeffame Maariyaamiif erge.
ልዩነቶቻቸውን አስወግዷል።	He brushed aside their differences.	Garaagarummaa fixan.
ሌላው ቀርቶ አስፈላጊ ነው።	It is even important.	Dhimma biraa hafee barbaachisaadha.
ዝም ብየ አላመንኩም ነበር።	I just couldn't believe it.	Ani akkasumaan hin amanne.
ጠበቃ ማነጋገር አለብኝ።	I need to talk to a lawyer.	Abbaa seeraa waliin haasa'uun na barbaachisa.
ባለቤቴ ምስኪን ሹፌር ነች።	My wife is a poor driver.	Haati manaa koo konkolaachistuu hiyyeettiidha.
ጤናማ ይመስላሉ።	They look healthy.	Fayyaa fakkaatu.
አንድ ትልቅ ጉጉት አሁን አየሁ።	I just saw a big owl.	Reefu oowwii guddaa tokkon arge.
ስሜ ማን እንደሆነ ጠየቀኝ።	He asked me what my name was.	Maqaan koo eenyu akka ta'e na gaafate.
ዝናብ እንደማይዘንብ ተስፋ አደርጋለሁ።	I hope it doesn't rain.	Akkanatti akka roobni hin roobne abdiin qaba.
ይህ ለምን አስፈላጊ ነው?	Why is this important?	Kun maaliif dhimma qaba?
በዚህ አካል ላይ የአስከሬን ምርመራ ማድረግ እፈልጋለሁ።	I would like to perform an autopsy on this body.	Reeffa kana irratti qorannoo reeffaa gochuun barbaada.
ከትምህርት ቤት የቀረሁት ጉንፋን ስላለብኝ ነው።	I missed school because I had a cold.	utaalloo waanan qabuufan mana barumsaa irraa hafe.
ይህን ስም ከዚህ በፊት ሰምቸው ነበር።	I had heard this name before.	Maqaa sana kanaan dura dhaga'een ture.
ዛፉ ማደግ አቆመ።	The tree stopped growing.	Mukti guddachuu dhiise.
ይህ ሶፋ ሶስት ሰወችን በቀላሉ ሊቀመጥ ይችላል።	This sofa can easily seat three people.	Soofaa kun salphaatti nama sadii teessisuu danda'a.
በችግሮቸ ላስቸግራችሁ አልፈልግም።	I don't want to trouble you with problems.	Dhuguma rakkoo kootiin isin dhiphisuu hin barbaadu.
መጀመሪያ ላይ ምንም ሊገባኝ አልቻለም።	At first I couldn't understand anything.	Jalqaba irratti homaa hubachuu hin dandeenye.
በቀላል ጥያቄ እንጀምር።	Let's start with a simple question.	Mee gaaffii salphaa irraa haa jalqabnu.
ለምንድነው እዚህ ያለነው?	Why are we here?	Maaliif as jirra?
ብቻህን መሆን ምን እንደሚመስል አውቃለሁ።	I know what it's like to be alone.	Kophaa ta'uun maal akka fakkaatu nan beeka.
ቶም ምን እንደሚለብስ ታውቃለህ።	You know what Tom wears.	Toom maal akka uffate beektaa.
ይቅርታ የምር አላስታውስም።	Sorry, I really don't remember.	Dhiifama, dhuguma hin yaadadhu.
በየቀኑ ጠዋት ለግማሽ ሰአት ያህል በእግር ለመጓዝ ደንብ አደርጋለው።	I make it a rule to walk for half an hour every morning.	Ganama ganama walakkaa sa'aatii miilaan deemuu seera godhera.
በጭንቅላታችሁ ውስጥ ምን እንዳለ ለመረዳት ፍላጎት የለኝም።	I'm not interested in understanding what's in your head.	Waan mataa keessan keessa jiru hubachuuf fedhii hin qabu.
ይህ በእውነት አዋራጅ ነው።	This is truly humiliating.	Kun dhuguma gad of deebisuudha.
ምናልባት አብረን መቀመጥ እንችላለን።	Maybe we can sit together.	Tarii waliin taa'uu dandeenya.
ጨርሶ መምጣት አጠራጣሪ ነው።	It is doubtful that it will come at all.	Tasumaa dhufuun isaa shakkii qaba.
ቲቪ ለማየት ጊዜ የለኝም።	I don't have time to watch TV.	Yeroon TV ilaalu hin qabu.
ቶም ግማሽ ሰአት ዘግይቶ መጣ።	Tom arrived half an hour late.	Toom walakkaa sa'aatii booda dhufe.
ይህ በጣም ውጥረት ነው አይደል?	This is very stressful, isn't it?	Kun baay'ee dhiphina qaba mitiiree?
ከተማ ውስጥ የማደርገው ጉዳይ አለኝ።	I have business to do in town.	Magaalaa keessatti waanan hojjedhu tokkon qaba.
ማንኛውም ነገር ይቻላል።	Anything is possible.	Wanti kamiyyuu ni danda'ama.
የኔን ትወዷለህ።	You love mine.	Kan koo ni jaallattaa.
መንዳት ትችላለህ።	You can drive.	Konkolaachisuu ni dandeessaa.
ወድያው ወደ ንግግሩ ገቡ።	They immediately got into the conversation.	Achumaan haasawa keessa seenan.
ከእስር ቤት ስወጣ መጀመሪያ የገዛሁት የኤኮኖሚ መኪና ነው።	The first thing I bought when I got out of prison was an economy car.	Yeroon mana hidhaa keessaa bahu wanti jalqaba bite konkolaataa dinagdee ture.
እንስሳት እውነተኛውን እና ሃሰተኛውን መናገር አይችሉም።	Animals cannot tell what is true and what is false.	Bineensonni waan dhugaa fi waan sobaa adda baasuu hin danda'an.
አሳ ነባሪ አጥቢ እንስሳ ነው።	A whale is a mammal.	Qurxummiin guddaa jechuun hoosisuudha.
ካንተ ጋር ላገባ እንደማልፈልግ አውቃለሁ።	I know I don't want to marry you.	Sitti heerumuun akkan hin barbaanne nan beeka.
ይህ መያዣ ሙሉ በሙሉ ውሃ የማይገባ ነው።	This case is completely waterproof.	Meeshaan kun guutummaatti bishaan kan hin seennedha.
ስኳር አጥተናል ማለት ይቻላል።	We are almost out of sugar.	Sukkaarri nu jalaa dhumeera jechuun ni danda'ama.
ውሳኔ መስጠት ነበረበት።	He had to make a decision.	Murtoon kennuun qaban ture.
ግምቴን ማወቅ ትፈልጋለህ።	You want to know my guess.	Tilmaama koo beekuu barbaaddaa.
ጋዜጣው እንዳለው ራሱን አጠፋ።	According to the newspaper, he committed suicide.	Akka gaazexaan kun ibsutti of ajjeese.
ከሞተች ብዙ አመታት ተቆጥረዋል።	It has been many years since she died.	Erga duutee waggoota hedduu ta'eera.
ውጤቱን አላሰብኩም ነበር።	I didn't expect the results.	Bu'aa isaa hin yaadne.
ብዙ አድርጌዋለሁ።	I've done it a lot.	Baay'een hojjedhe.
አትክልት ትሸጣለች።	She sells vegetables.	Kuduraa fi muduraa gurgurti.
ለእያንዳንዱ ደንብ የተለየ ነገር አለ።	There is an exception for every rule.	Seera hunda keessaa kan adda ta'e jira.
ቶም በጥቅምት ወር መመለስ አለበት።	Tom should be back in October.	Toom hanga Waxabajjiitti deebi'uu qaba.
ባቄላ እወዳለሁ።	I love beans.	Baqalaa nan jaalladha.
ከገና በፊት ሱቆች ተጨናንቀዋል።	Shops are crowded before Christmas.	Manneen daldalaa ayyaana masqalaa dura namaan guutamaniiru.
እነሱ እኛን ይመስላሉ።	They look like us.	Isaan nu fakkaatu.
ይህን ሽህ ጊዜ አድርጌዋለሁ።	I've done this a long time.	Yeroo kuma tokko kana godheera.
ይህን ታሪክ ከዚህ በፊት ነግረሀኝ ነበር።	You told me this story before.	Seenaa kana kanaan duras natti himteetta.
ከጓደኞቸ መካከል ችሎታ ያለው እሱ ብቻ ነው።	He is the only one with talent among their friends.	Hiriyyoota koo keessaa kan dandeettii qabu isa qofa.
ወደ መርከቡ እንመለሳለን።	We will return to the ship.	Gara doonii sanaatti deebi'aa jirra.
ለፒዛ አመሰግናለሁ።	Thanks for the pizza.	Piizaa kanaaf galatoomaa.
የእኛ ቁጥር አንድ ቅድሚያ የሚሰጠው ይህ ነው።	This is our number one priority.	Sun aantummaa keenya lakkoofsa tokkoodha.
በእውነቱ ያንን ለማድረግ እንደወሰንኩ አላስታውስም።	I don't remember actually deciding to do that.	Dhugumatti akkas gochuuf murteessuu koo hin yaadadhu.
ለመዋኛ መሄድ ትፈልጋለህ።	You want to go swimming.	Daakaadhaaf deemuu barbaaddaa.
ከእኔ በቀር ማንም አያውቅም።	No one knows but me.	Ana malee namni beeku hin jiru.
በጭኑ ላይ የእንሽላሊት ንቅሳት አላት።	She has a tattoo of a lizard on her thigh.	Tattoo saree qoma ishee irratti qabdi.
እባክወን ለቤተሰብወ ሰላም ይበሉ።	Please say hello to the family.	Mee maatii keessaniin nagaa jedhaa.
ግላድያተሮች በኮሎሲየም ውስጥ ከአንበሶች ጋር ተዋጉ።	Gladiators fought lions in the Colosseum.	Glaadiatoroonni Kolooseemii keessaa leencota waliin wal lolan.
አንድ ደርዘን እንቁላል ስንት ነው?	How much is a dozen eggs?	Hanqaaquun daarsanni tokko meeqadha?
ቶም ከጥቂት አመታት በፊት ቦስተን ውስጥ ኖሯል።	Tom lived in Boston until a few years ago.	Toom hanga waggoota muraasa duraatti Booston jiraachaa ture.
