Amharic,English,Oromo,duplication_group,pair_type,language_pair
ጎበዝ ዘፋኝ ነው።,Weellisaa gaarii dha.,He is a talented singer.,1,trilingual,en_am_or
ዛሬ የበለጠ እንጠንቀቅ።,Har'a of eeggannoo dabalataa haa goonu.,Let's be more careful today.,1,trilingual,en_am_or
ድቡ በጣም የተገራ እና አይነክሰውም።,Risaan kun baayyee kan dammaqee fi hin ciniinu.,The bear is very tame and does not bite.,1,trilingual,en_am_or
ቶም ወደ ቤቴ መጣ።,Toom gara mana koo dhufe.,Tom came to my house.,1,trilingual,en_am_or
"መጋረጃወቹን ስከፍት, በረዶ ነበር።",Golgaan yeroo banamu qorraa ture.,"When I opened the curtains, it was snowing.",1,trilingual,en_am_or
ቶም እዛ እንድሆን ይጠብቀኛል።,Toom achitti akkan argamu na eega.,Tom expects me to be there.,1,trilingual,en_am_or
ይህን እንዳደርግ በእውነት ትፈልጋለህ።,Dhuguma akkan kana godhu barbaaddaa.,You really want me to do this.,1,trilingual,en_am_or
የመንፈስ ጭንቀት ራስን ማጥፋት ሊያስከትል ይችላል።,Dhiphinni sammuu of ajjeesuutti nama geessuu danda'a.,Depression can lead to suicide.,1,trilingual,en_am_or
ቶም ማርያምን ያቀፈበትን የመጨረሻ ጊዜ አስታወሰ።,Toom yerooMaariyam hammate isa dhumaa yaadate.,Tom remembered the last time he had hugged Mary.,1,trilingual,en_am_or
እዚህ ትመጣለች።,Kunoo isheen dhufte.,Here she comes.,1,trilingual,en_am_or
እርጥበታማ ውሾች ከደረቁ ይልቅ መጥፎ ሽታ አላቸው።,Saroonni jiidha qaban kanneen goggogaa caalaa foolii badaa qabu.,Wet dogs smell worse than dry ones.,1,trilingual,en_am_or
ሳጥኑን ለመዝጋት እየሞከርን ነው።,Sanduuqa cufuuf yaalaa jirra.,We are trying to close the box.,1,trilingual,en_am_or
ትጉ ተማሪ አይደለም።,Tiguun barataa miti.,He is not a diligent student.,1,trilingual,en_am_or
ከእርስወ እቅድ ጋር እሄዳለሁ።,Karoora kee waliin nan deema.,I will go with your plan.,1,trilingual,en_am_or
እሱ በሙሉ በቀለም ተሸፍኗል።,Guutummaa isaa halluudhaan haguugamee ture.,It is all covered in paint.,1,trilingual,en_am_or
በደረጃው ላይ አንድ እርምጃ አምልጦኝ ነበር እና ቁርጭምጭሚቴን እንደተሰነጠቅ ፈራሁ።,Tarkaanfii tokko sadarkaa irra darbee jilba koo akkan na hin kaanneen sodaadha.,I had missed a step on the stairs and feared I had sprained my ankle.,1,trilingual,en_am_or
ማሽከርከር ያስፈልግወታል።,Yaabannoo si barbaachisaa.,It needs to be driven.,1,trilingual,en_am_or
ያለ እርስወ መሆን አልችልም።,Si malee ta'uu hin danda'u.,I can't be without you.,1,trilingual,en_am_or
ይህን መፅሃፍ ማን እንደፃፈው ሃሳብ አለህ?,Kitaaba kana eenyu akka barreesse beektaa?,Do you have any idea who wrote this book?,1,trilingual,en_am_or
እኔ ብቻ አይደለሁም የራበኝ።,Ani qofti miti kan beela'e.,I'm not the only one who's hungry.,1,trilingual,en_am_or
ሽልማቱ ይገባዋል።,Badhaasni isaaf mala.,He deserves the award.,1,trilingual,en_am_or
ክብደቷን እንድትቀንስ በእሱ ምክር ተሰጥቷታል።,Ulfaatina qaamaa akka hir'iftu isa gorse.,She was advised by him to lose weight.,1,trilingual,en_am_or
ይቅርታ፣ መርዳት ፈልጌ ነበር።,"Dhiifama, gargaaruu barbaaden ture.","Sorry, just wanted to help.",1,trilingual,en_am_or
መለዋወጫወቹን አንድ በአንድ መረመረ።,qaama jijjirraa tokko tokkoon qorate.,He examined the accessories one by one.,1,trilingual,en_am_or
ሬድዮን ከፈትኩ።,Raadiyoo banee.,I turned on the radio.,1,trilingual,en_am_or
ቁርስ የሚቀርበው ስንት ሰአት ነው?,Ciree sa'aatii meeqatti dhihaata?,What time is breakfast served?,1,trilingual,en_am_or
የዚህ ኤሌክትሮኒክ መዝገበ ቃላት ጥሩ ነገር ለመሸከም ቀላል መሆኑ ነው።,Wanti gaariin galmee jechootaa elektirooniksii kanaa baatanii deemuun salphaa ta'uu isaati.,The good thing about this electronic dictionary is that it is easy to carry.,1,trilingual,en_am_or
እርዳታ እንፈልጋለን።,Gargaarsa nu barbaachisa.,We need help.,1,trilingual,en_am_or
ብቻየን መተው አልፈልግም።,Kophaa koo dhiisuu hin barbaadu.,I don't want to leave us alone.,1,trilingual,en_am_or
ቢያንስ በሳምንት አንድ ጊዜ ወደ ቤተ-መፅሃፍት እሄዳለሁ።,Yoo xiqqaate torbanitti al tokko mana kitaabaa nan deema.,I go to the library at least once a week.,1,trilingual,en_am_or
ለአንድ ሳምንት እዚያ ለመቆየት እቅድ አለኝ።,Torban tokko achi turuuf karoorfadheera.,I plan to stay there for a week.,1,trilingual,en_am_or
ልታዳምጠኝ ይገባ ነበር።,na Dhaggeeffachuu qabda turte.,You should have listened to me.,1,trilingual,en_am_or
እኛ የመጨረሻ ተስፋህ ነን።,Nuti abdii kee isa dhumaati.,We are your last hope.,1,trilingual,en_am_or
ሃይ! ስላም።,Akkam! Akkam jirta.,Hi Slam.,1,trilingual,en_am_or
እዚሁ ጠብቅ።,Asirratti eegaa.,Wait right here.,1,trilingual,en_am_or
ጓደኛህን አገኘሁት።,Hiriyaa kee wajjin wal barre.,I met your friend.,1,trilingual,en_am_or
መክሰስ ይኑርህ።,Nyaata salphaa nyaadhu.,Have a snack.,1,trilingual,en_am_or
እንድናደርግ ተጠየቅን።,Akkas akka goonu nu gaafatame.,We were asked to do so.,1,trilingual,en_am_or
ይህ የእርስወ ልጅ ነው።,Mucaa keessani kun.,This is your child.,1,trilingual,en_am_or
ጠላቶች አይደለንም።,Nuti diina miti.,We are not enemies.,1,trilingual,en_am_or
ወደ ትምህርት ቤት እመራለሁ።,Miillaan gara mana barumsaa nan deema.,I head to school.,1,trilingual,en_am_or
ብዙ ንፋስ አለ።,Qilleensa baay'eetu jira.,There is a lot of wind.,1,trilingual,en_am_or
የግል ትኩረቷን ሰጠችው።,Xiyyeeffannoo dhuunfaa isheef kennite.,She gave him her personal attention.,1,trilingual,en_am_or
ካለፈው መሮጥ አትችልም።,Kan darbe irraa fiiguu hin dandeessu.,You can't run from the past.,1,trilingual,en_am_or
ውጭ የቆሙ የፖሊስ መኪኖች አሉ።,Konkolaattonni poolisii tokko tokko ala dhaabbatanii jiru.,There are police cars parked outside.,1,trilingual,en_am_or
በአገርህ ሩዝ ትበላለህ።,Biyya keessanitti ruuzii nyaattuu.,You eat rice in your country.,1,trilingual,en_am_or
ስራው ከሰአት በፊት ማለቅ አለበት።,Hojichi sa'aatii walakkaa dura xumuramuu qaba.,The work should be finished before noon.,1,trilingual,en_am_or
ያ ከአንተ ጋር ምን ግንኙነት አለው?,Sun si waliin hariiroo akkamii qaba?,What does that have to do with you?,1,trilingual,en_am_or
ለገንዘብ ምንም ደንታ የለህም መሰለኝ።,Maallaqaaf dhimma hin qabdu natti fakkaata.,I thought you didn't care about money.,1,trilingual,en_am_or
ተስፋ ቆርጨ ነበር።,Abdii dhiiseen ture.,He was desperate.,1,trilingual,en_am_or
በጥንቃቄ ይመልከቱ። እንደት እንደተደረገ ላሳይወት ነው።,Sirritti ilaalaa. Akkamitti akka hojjetamu isinitti agarsiisa.,Look carefully.I'm going to show you how it's done.,1,trilingual,en_am_or
ተነሳሽ ነወት።,kaka'umsa qabdu.,You are motivated.,1,trilingual,en_am_or
ይህ ሁሉ ምግብ እንድባክን መፍቀድ አሳፋሪ ነው።,Nyaata kana hunda akka qisaasamaatti gadhiisuun salphina ta'a.,It's a shame to let all this food go to waste.,1,trilingual,en_am_or
ለምን እንደዚያ ማድረግ እንዳለብኝ ምንም ምክንያት አይታየኝም።,Sababni ani akkas gochuu qabuf tokkollee natti hin argu.,I don't see any reason why I should do that.,1,trilingual,en_am_or
ያንን መቋቋም እንደምችል አምናለሁ።,Sana dandamachuu akkan danda'u nan amana.,I believe I can handle that.,1,trilingual,en_am_or
ለእራት መውጣትስ።,Irbaata nyaachuuf bahuun akkam.,How about going out for dinner.,1,trilingual,en_am_or
መፅሄቱን በፍጥነት ተመለከተ።,Barruulee sana dafaa ilaala.,He glanced quickly at the magazine.,1,trilingual,en_am_or
በጣም ጥሩ አድርገሃል።,Baay'ee gaarii goote.,You did very well.,1,trilingual,en_am_or
ሁሉም ሳቁ።,Hunduu kolfe.,They all laughed.,1,trilingual,en_am_or
ግማሽ ትክክል ነን።,Walakkaa sirrii dha.,We are half right.,1,trilingual,en_am_or
እየተንሸራሸርኩ ራሴን ልገድል ነበር።,Utuun hiruun of ajjeesuuf jedhe.,I was going to kill myself while strolling.,1,trilingual,en_am_or
ፓስታ እንብላ።,Mee paastaa haa nyaannu.,Let's eat pasta.,1,trilingual,en_am_or
በፒያኖ ላይ ጥሩ ችሎታ አሳይታለች።,Piyaanoo irratti ogummaa guddaa agarsiifteetti.,She is very good at piano.,1,trilingual,en_am_or
ልቧ እየመታ በሩን ከፈተች።,Garaa ishee rurrukutaa balbala bante.,"Her heart pounding, she opened the door.",1,trilingual,en_am_or
ጥቅሉን ይክፈቱ።,Paakeejii sana banaa.,Open the package.,1,trilingual,en_am_or
እዚህ ላለፉት አስር አመታት እየኖርኩ ነው።,Waggoota kurnan darbaniif as jiraachaa ture.,I have been living here for the past ten years.,1,trilingual,en_am_or
"እየራበኝ ነው። ""እኔም።"" ""እንብላ።"" ""እሽ""።","Beela'aa jira. ""Anis akkasuma."" ""Haa nyaannu."" ""TOLE."".","I'm getting hungry.""me either.""""Let's eat.""""Shh"".",1,trilingual,en_am_or
አስገባው።,Galchi.,Enter it.,1,trilingual,en_am_or
የተሸከመውን ምሰሶ ማስወገድ የህንፃውን መዋቅር አበላሽቷል።,Biimii isa fe'ame sana dhorkuun dhaabbii gamoo sana balleessee.,Removing the load-bearing beam damaged the structure of the building.,1,trilingual,en_am_or
ሮም ጥንታዊ ከተማ ነች።,Roomaan magaalaa duriiti.,Rome is an ancient city.,1,trilingual,en_am_or
ፈጥኖም ይሁን ዘግይቶ እድሉ ያበቃል።,Ariifatus dafee gahus carraan isaa ni dhumata.,Sooner or later the opportunity will end.,1,trilingual,en_am_or
እባካችሁ እራትወን ይቀጥሉ።,Maaloo irbaata keessan itti fufaa.,Please continue our dinner.,1,trilingual,en_am_or
ከእሷ ጋር መገናኘት አለብህ።,Ishee waliin wal arguu qabda.,You have to meet her.,1,trilingual,en_am_or
ቀጠሮ ይዘን ነበር።,Beellama qabna turre.,We had an appointment.,1,trilingual,en_am_or
ከቶም የተሻለ ጠብቄ ነበር።,Toom irraa waan caalu eegeen ture.,I expected better from Tom.,1,trilingual,en_am_or
እየሄድን ነው።,Deemaa jirraa.,We are going.,1,trilingual,en_am_or
እሷ ሳታውቅ መልሰን ማግኘት ችለናል።,Osoo isheen hin beekin deebifnee argachuu dandeenye.,We were able to retrieve it without her knowing.,1,trilingual,en_am_or
ይህ መኪና አባቴ ይጠቀማል።,Konkolaataa kana abbaa kootu fayyadama.,This car is used by my father.,1,trilingual,en_am_or
ቶም ምን እንደሚያደርግ አያውቅም።,Toom maal akka godhu hin beeku.,Tom doesn't know what to do.,1,trilingual,en_am_or
በዚህ ቅዳሜና እሁድ ለመዝናናት በእውነት እጓጓለሁ።,Dhuma torbee kanaa boqonnaa argachuuf baay'een hawwa.,I'm really looking forward to having fun this weekend.,1,trilingual,en_am_or
ለጀማሪ እዚህ መዋኘት አደገኛ ነው።,Namni daakaa hin beekne asitti daakuun balaa qaba.,Swimming here is dangerous for a beginner.,1,trilingual,en_am_or
ግልቢያ ያስፈልገኛል።,Yaabannoo na barbaachisa.,I need a ride.,1,trilingual,en_am_or
ብቻየን መመለስ አልፈልግም።,Kophaa koo deebi'uu hin barbaadu.,I don't want to go back alone.,1,trilingual,en_am_or
አጎቴ ወደ አሜሪካ ሲሄድ ብዙ ሰወች ከአውሮፕላን ማረፊያው ሄደው ሊያዩት መጡ።,Adeerri koo gara Ameerikaa yeroo deemu namoonni hedduun buufata xiyyaaraatti isa simachuuf dhufan.,"When my uncle left for America, many people went from the airport to see him.",1,trilingual,en_am_or
ለምንድን ነው ጦጣወች በጣም አስቂኝ የሆኑት?,Jaldeessonni maaliif akkas nama kofalchiisu?,Why are monkeys so funny?,1,trilingual,en_am_or
እርስወ እንደሚያስቡት ቀላል አይደለም።,Akka isin yaaddanitti salphaa miti.,It is not as easy as you think.,1,trilingual,en_am_or
ከእሷ ጋር መውጣት ይፈልጋል።,Ishee waliin bahuu barbaada.,He wants to go out with her.,1,trilingual,en_am_or
ቶም ደስተኛ ላይሆን ይችላል ብየ አሰብኩ።,Toom gammachuu dhabuu dandaʼa jedheen yaade.,"Tom might not be happy, I thought.",1,trilingual,en_am_or
ስሙን መጥራት ተቸግሬ ነበር።,Maqaa isaa waamuun na rakkisee ture.,I had a hard time pronouncing his name.,1,trilingual,en_am_or
አባቴ አዳኝ ነው።,Abbaan koo adamsituu dha.,My father is a hunter.,1,trilingual,en_am_or
በዙሪያቸው ግራ መጋባት ተሰማኝ።,naannoon isaanii dalga namatti ta'a.,I felt confused around them.,1,trilingual,en_am_or
እነዚህን ፎቶወች ይመልከቱ።,Suuraalee kana ilaalaa.,Check out these photos.,1,trilingual,en_am_or
በምሽት መውጣት የለብወትም።,Halkan bahuu hin qabdu.,You should not go out at night.,1,trilingual,en_am_or
ስፌት በእጅ የሚሰራ ስራ ነው።,Hojii huccuu hojjechuun hojii harkaa ti.,Sewing is a manual work.,1,trilingual,en_am_or
የመጨረሻ እድል ሰጡን።,Carraa dhumaa tokko nuuf kennaniiru.,They gave us one last chance.,1,trilingual,en_am_or
እሷ ሁሉንም ጥቁር ለብሳ ነበር።,Isheen gurraacha uffattee turte.,She was wearing all black.,1,trilingual,en_am_or
የትም መሄድ ይችላሉ።,Bakka feetan deemuu dandeessu.,You can go anywhere.,1,trilingual,en_am_or
በየቀኑ ጠዋት በእግር ይጓዛል።,Ganama ganama miilaan deema.,He walks every morning.,1,trilingual,en_am_or
ከዚህ በፊት የሆነ ቦታ አግኝቻታለሁ የሚል ስሜት አለኝ።,Kanaan dura bakka ta'etti ishee argeera miira jedhun qaba.,I have a feeling I've met her somewhere before.,1,trilingual,en_am_or
ያ ብቻ ነው ያየነው።,Kana qofa argine.,That's all we saw.,1,trilingual,en_am_or
ዩኒቨርሲቲ ገብቸ ስራ እንደምጀምር እስካሁን እርግጠኛ አይደለሁም።,Yuunivarsiitii erga deemee booda hojii jalqabuu fi dhiisuu koo ammatti hin beeku.,I'm not sure yet if I'll start a job after going to university.,1,trilingual,en_am_or
ያ በእውነት ኢፍትሃዊ ነበር።,Sun dhuguma haqa kan hin qabne ture.,That was really unfair.,1,trilingual,en_am_or
ሲርበኝ እበላለሁ።,Yeroon beela'u nan nyaadha.,I eat when I'm hungry.,1,trilingual,en_am_or
ጓንቶቸን ማውጣት አልችልም።,Golgaa harka ofirraa baasuu hin dandeenye.,I can't take the gloves off.,1,trilingual,en_am_or
ከአንተ በቀር ምንም አላሰብኩም።,Si malee homaa hin yaadu.,I thought of nothing but you.,1,trilingual,en_am_or
ጥቃት ደርሶባቸዋል።,Haleellaan irratti raawwatameera.,They were attacked.,1,trilingual,en_am_or
እስኪ ልሞክረው።,Mee haa yaalu.,Let me try it.,1,trilingual,en_am_or
አሁንም መሞከር አለብኝ።,Ammas yaaluun qaba.,I still have to try.,1,trilingual,en_am_or
አብረን እራት በልተናል።,Irbaata waliin nyaanne.,We had dinner together.,1,trilingual,en_am_or
ዛሬ ማታ ቀጠሮ አለኝ።,Halkan kana beellama qaba.,I have a date tonight.,1,trilingual,en_am_or
ከዚህ ወደ ባቡር ጣቢያው አስር ደቂቃ ያህል ይወስዳል።,Asirraa gara buufata baaburaatti gara daqiiqaa kudhanii fudhata.,It takes about ten minutes from here to the train station.,1,trilingual,en_am_or
ሁሉንም ነገር የማደርገው እንደዛ ነው።,Waan hundumaa akkasitti hojjedha.,That's how I do everything.,1,trilingual,en_am_or
እዚህ የደረስኩት ከሰላሳ ደቂቃ በፊት ነው።,Gara daqiiqaa soddoma dura as gahe.,I got here thirty minutes ago.,1,trilingual,en_am_or
ቶም እና ሜሪ ሁለቱም ለመልቀቅ ወስነዋል።,Toomii fi Meerii lamaan isaanii iyyuu aangoo gadhiisuuf murteessaniiru.,Tom and Mary both decide to leave.,1,trilingual,en_am_or
እህቴ ደብዳቤውን ስትቀደድ አየሁ።,Obboleettiin koo xalayaa sana akka cicciru arge.,I saw my sister tearing up the letter.,1,trilingual,en_am_or
አንተ በእኔ መንገድ ላይ ነህ።,Ati karaa koo keessa jirta.,You are in my way.,1,trilingual,en_am_or
ለእኔ በጣም እንግዳ ይመስላል።,Baayyee ajaa'iba natti dhaga'ama.,It seems very strange to me.,1,trilingual,en_am_or
የዚህ ዜማ ስም ማን ይባላል?,Maqaan faarfannaa kanaa maali?,What is the name of this song?,1,trilingual,en_am_or
ቶም ፍሬ ብቻ ይበላል።,Toom firii qofa nyaata.,Tom only eats fruit.,1,trilingual,en_am_or
ግድግዳውን እንደቀቡ ወድያውኑ ወደ ቤትወ መሄድ ይችላሉ።,Akkuma dallaa dibameen gara manaatti deebi'uu dandeessu.,You can go home immediately after painting the wall.,1,trilingual,en_am_or
ዛሬ ማታ የተሻለ ትተኛለህ።,Halkan kana gaarii rafta.,You'll sleep better tonight.,1,trilingual,en_am_or
የቸሪ አበባወች በጣም ጥሩ ናቸው።,Daraaraan cheerii baayyee gaarii dha.,Cherry blossoms are very good.,1,trilingual,en_am_or
የከተማ ህይወት ግርግር እና ግርግር ናፈቀኝ።,Jireenya jeequmsa magaalan yaade.,I miss the hustle and bustle of city life.,1,trilingual,en_am_or
ቀይ ፅጌረዳወችን አመጣሁልወ።,Roozaa diimaa siif fideen ture.,I brought red roses.,1,trilingual,en_am_or
ከእርስወ ጋር መምጣት እንደምችል እርግጠኛ አይደለሁም።,Si waliin dhufuu danda'uu fi dhiisuu koo mirkanaa'aa miti.,I'm not sure I can come with you.,1,trilingual,en_am_or
ሰማያዊ ካፖርት የለበሰችው ልጅ የኔ ልጅ ነች።,Intalti kootii bifa cuquliisa uffatte intala kooti.,The girl in the blue coat is my daughter.,1,trilingual,en_am_or
ስለዚህ ወጭውን መቀነስ ያስፈልጋል።,Kanaaf baasii hir'isuun barbaachisaadha.,"Therefore, it is necessary to reduce the cost.",1,trilingual,en_am_or
ምን ያስደስትሃል?,Maaltu si gammachiisa?,What makes you happy?,1,trilingual,en_am_or
ለቶም ስለእርስወ ለመንገር እቅድ አለኝ።,Waa'ee kee Toomitti himuuf karoorfadheera.,I plan to tell Tom about you.,1,trilingual,en_am_or
ጀግንግ በእውነቱ ከሚታየው በጣም ቀላል ነው።,Juggling gochuu dhugumatti waan fakkaatu caalaa baayyee salphaadha.,Juggling is actually a lot easier than it looks.,1,trilingual,en_am_or
አረንጓደ ቀሚስ ለብሳለች።,Uffata magariisa uffatte.,ERROR: The read operation timed out.,1,trilingual,en_am_or
ሁሌም ተመሳሳይ ነገር ነው የምትናገረው።,Yeroo hunda waanuma tokko dubbatta.,You always say the same thing.,1,trilingual,en_am_or
ርህራሄን አልፈልግም።,Ani mararfannaa hin barbaadaa.,I don't want pity.,1,trilingual,en_am_or
በሱቁ ውስጥ ያገኘነው አደጋ ብቻ ነው።,Mana daldalaa sana keessatti balaa qofa argine.,All we got in the shop was a disaster.,1,trilingual,en_am_or
ተጠያቂው እራስህ ብቻ ነው።,Ofii kee qofa komatamuu qabda.,You have only yourself to blame.,1,trilingual,en_am_or
ቡና እንድጠጣ ጋበዘችው።,Buna akka dhuguuf affeerte.,She invited him to have coffee.,1,trilingual,en_am_or
በንብ ነደፋህ።,Biinbiitu si ciniinee.,A bee stung you.,1,trilingual,en_am_or
ፈርኦኖች የጥንቷ ግብፅ ገዥወች ነበሩ።,Fara'oon bulchitoota Gibxii durii turanidha.,Pharaohs were the rulers of ancient Egypt.,1,trilingual,en_am_or
ቶም እንደዚያ እንደሚያደርግ አላውቅም ነበር።,Toom akkas akka godhu yaada hin qabu ture.,I didn't know Tom would do that.,1,trilingual,en_am_or
በጠዋት ከቤት ወጣን።,Ganama bariin manaa baane.,We left home in the morning.,1,trilingual,en_am_or
አሁን በጣም ጥሩ ስሜት እየተሰማህ እንደሆነ እገምታለሁ።,Yeroo ammaa kana dhuguma miira gaariin sitti dhagahama jedheen falma.,I bet you're feeling pretty good right now.,1,trilingual,en_am_or
እሱ ደግሞ አይቷል።,Innis argeera.,He also saw.,1,trilingual,en_am_or
ልጁ ወደ ሃይቁ ድንጋይ በመወርወር ጊዜውን አለፈ።,Mucaan kun dhagaa gara harootti darbachuudhaan yeroo sana dabarseera.,The boy passed the time by throwing stones into the lake.,1,trilingual,en_am_or
እንደማትዋሽ አውቃለሁ።,Akka hin sobne nan beeka.,I know you don't lie.,1,trilingual,en_am_or
እየታመምኩ ነው።,Dhukkubni natti dhagahamaa jira.,I'm getting sick.,1,trilingual,en_am_or
ቶም ክሉትዝ መሆኑን አውቃለሁ።,Toom klutz akka ta'e nan beeka.,I know it's Tom Clutz.,1,trilingual,en_am_or
ታሪኩ እውነት ነው ብሎ ያምናል።,Seenaan sun dhugaa ta'uu isaa ni amana.,He believes the story is true.,1,trilingual,en_am_or
አንደ ጠብቅ።,Al_tokko eegi.,Wait for one.,1,trilingual,en_am_or
ከዚህ በፊት በአስር ጊዜ ተሳትፎ አለኝ።,Kanaan dura yeroo kudhan hirmaadhera.,I have been involved ten times before.,1,trilingual,en_am_or
ይህን ስጦታ መቀበል አልችልም።,Kennaa kana fudhachuu hin danda'u.,I cannot accept this gift.,1,trilingual,en_am_or
የዛሬውን ወረቀት አንብበዋል።,Waraqaa har'aa dubbisteettaa.,You have read today's paper.,1,trilingual,en_am_or
እርሳሱን ከጆሮው ጀርባ አጣበቀ።,Qalama isaa gurra isaa duubaan keewwate.,He stuck the pencil behind his ear.,1,trilingual,en_am_or
ከማን ጋር ነው የምንወዳደረው?,Eenyu waliin dorgomaa jirra?,Who are we competing with?,1,trilingual,en_am_or
አባቴ ወጥቷል።,Abbaan koo bahee jira.,My father is out.,1,trilingual,en_am_or
እርግጠኛ ነወት እዚህ መዋኘት እንደተፈቀደልን?,"Mirkaneeffattanii, Asitti daakaa naaf eyyamuu?",Are you sure that we are allowed to swim here?,1,trilingual,en_am_or
እርስወ የሳይንስ አስተማሪ ነወት።,Ati barsiisaa saayinsii ti.,She is a science teacher.,1,trilingual,en_am_or
ባለትዳር ነው ወይ ብየ አስባለሁ።,Inni fuudhee jiraa jedheen yaada.,I wonder if he is married.,1,trilingual,en_am_or
ያ ትልቅ ችግር ሆኖ ቀጥሏል።,Sun rakkoo guddaa ta'ee hafa.,That continues to be a major problem.,1,trilingual,en_am_or
እሱ ከእኔ ይበልጣል።,Inni na caala.,He is older than me.,1,trilingual,en_am_or
ዛሬ ጠዋት ከእንቅልፍ ነቃሁ።,Har'a ganama hirribaa ka'e.,I woke up this morning.,1,trilingual,en_am_or
ከፈለግክ አንዱን አበድርሃለሁ።,Yoo feete tokko siif liqeessa.,I can lend you one if you want.,1,trilingual,en_am_or
በደቂቃ 50 ቃላት መተየብ እችላለሁ።,Daqiiqaa tokkotti jechoota 50 barreessuu nan danda'a.,I can type 50 words per minute.,1,trilingual,en_am_or
የእኔ ጋዜጣ የት ነው?,Gaazexaan koo eessa jira?,Where is my newspaper?,1,trilingual,en_am_or
ከዚህ በፊት እንደዚህ አይነት ችግር አጋጥሞኝ አያውቅም።,Kana dura rakkoon akkasii na mudatee hin beeku.,I've never had a problem like this before.,1,trilingual,en_am_or
ውሻየን ምን መመገብ አለብኝ?,Saree koo maal nyaachisuu qaba?,What should I feed my dog?,1,trilingual,en_am_or
ይህን እንደት ያውቃል።,Kana akkamitti beekta.,He knows this.,1,trilingual,en_am_or
ጃፓንን ለቆ ወደ አውሮፓ ሄደ።,Jaappaan gadhiisee gara Awurooppaatti deeme.,He left Japan and went to Europe.,1,trilingual,en_am_or
በክፍል ውስጥ ምሳ ትበላለህ።,Laaqana daree keessatti nyaattuu.,You eat lunch in the classroom.,1,trilingual,en_am_or
አውስትራሊያ ከመሞቴ በፊት መጎብኘት ከምፈልጋቸው አገሮች አንዷ ነች።,Biyyoota ani osoon hin du'in daawwachuu barbaadu keessaa Australian tokko.,Australia is one of the countries I want to visit before I die.,1,trilingual,en_am_or
ስለተፈጠረው ነገር ከቶም ጋር መነጋገር አለብኝ።,Waa'ee waan ta'e Toomii wajjin haasa'uun qaba.,I need to talk to Tom about what happened.,1,trilingual,en_am_or
ቶም አናርኪስት አይደለም።,Toom nama anarchist miti.,Tom is not an anarchist.,1,trilingual,en_am_or
ለሁሉም ሰው የሚሆን አይደለም።,Nama hundaaf waan ta'u miti.,It is not for everyone.,1,trilingual,en_am_or
መብላት አለብን።,Nyaachuu qabna.,We have to eat.,1,trilingual,en_am_or
ይህ እንደት እንደሚሰራ ታውቃለህ።,Kun akkamitti akka hojjetu beektu.,You know how this works.,1,trilingual,en_am_or
ምን አይነት ቅርሶች ገዙ?,Yaadannoo akkamii bitatan?,What kind of artifacts did you buy?,1,trilingual,en_am_or
ለሚቀጥለው ሳምንት ሶስት ዝግጅቶች አስቀድመው ይዘናል ።,Torban dhufuuf taateewwan sadii dursinee qabannee jirra.,We have already booked three events for next week.,1,trilingual,en_am_or
ሻይ መጠጣት አትፈልግም።,Shaayii dhuguu hin barbaadduu.,She doesn't want to drink tea.,1,trilingual,en_am_or
አስቸኳይ የደም ልገሳ ያስፈልጋል።,Arjoomni dhiigaa hatattamaan barbaachisaadha.,Blood donation is urgently needed.,1,trilingual,en_am_or
ምናልባት ብዙ የሴት ጓደኞች ሊኖሩት ይችላል።,Tarii jaalalleewwan durbaa baay'ee qaba ta'a.,Maybe he has many girlfriends.,1,trilingual,en_am_or
አንድ ጊዜ ተወርዋሪ ኮከብ አይቻለሁ።,Yeroo tokko urjii furguggaatuu argeera.,I saw a shooting star once.,1,trilingual,en_am_or
ቶም የት እንደሚሰራ አስቀድሜ አውቃለሁ።,Toom bakka itti hojjetu dursee beeka.,I already know where Tom works.,1,trilingual,en_am_or
ቶም ለገና አባት ደብዳቤ ፃፈ።,Toom Ayyaana qilleef xalayaa iSaaf barreesse.,Tom wrote a letter to Santa.,1,trilingual,en_am_or
የወይን አቁማዳ በመክፈት ስኬቱን አከበሩ።,Milkaa'ina isaas qaruuraa wayinii banuun kabajan.,They celebrated his success by opening a bottle of wine.,1,trilingual,en_am_or
ጉረኛን ማንም አይወድም።,Nama of jaju namni jaallatu hin jiru.,No one likes a braggart.,1,trilingual,en_am_or
በሩ ጮሀ።,Balballi sun ni iyye.,The door creaked.,1,trilingual,en_am_or
ይህን ብዙ ጊዜ ማድረግ አለቦት።,Yeroo baayʼee kana gochuu qabdaa.,You should do this often.,1,trilingual,en_am_or
በጣም አስከፊ ሃሳብ ነው።,Sun yaada suukaneessaadha.,It's a terrible idea.,1,trilingual,en_am_or
የጎሽ አጥንቶች በመሳሪያነት ተሰርተዋል።,Lafee bushaayeen meeshaa hojjetame.,Buffalo bones were made into tools.,1,trilingual,en_am_or
አስተማሪ መሆን እፈልጋለሁ።,Barsiisaa ta'uu nan barbaada.,I want to be a teacher.,1,trilingual,en_am_or
ለጥቂት ቀናት ከከተማ ውጭ እሆናለሁ።,Guyyoota muraasaaf magaalaa alan ta'a.,I will be out of town for a few days.,1,trilingual,en_am_or
ስብሰባ ነበራቸው።,Walgahii qaban.,They had a meeting.,1,trilingual,en_am_or
