Amharic,Oromo,English
ተስፋ ስልት አይደለም።,Abdiin tooftaa miti.,Hope is not a strategy.
ኑሮውን ለማሸነፍ ጠንክሮ ይሰራል።,Jireenya isaa mo'achuuf cimee hojjeta.,He works hard to earn a living.
የቶም እድለኛ ነው።,Toom carraa qabeessadha.,Tom's lucky.
በሩ አስቀድሞ ክፍት ነው።,Balballi sun durayyuu banamee jira.,The door is already open.
ነዳጅ አጥተናል።,Gaaziin dhumeera.,We ran out of gas.
ማድረግ እችል እንደሆነ ለማየት ፈልጌ ነበር።,Akkan danda'u ilaaluu qofan barbaade.,I wanted to see if I could do it.
ያ በዚህ ሳምንት ይከናወናል።,Sun torban kana ni raawwatama.,That will happen this week.
ያንን አትንኩት።,Sana hin tuqinaa.,Don't touch that.
እዚህ ለአንድ ሰአት ያህል ቆይቻለሁ።,Sa'aatii tokkoof as tureera.,I've been here for about an hour.
የእሱ ጥቆማ ግምት ውስጥ መግባት አለበት።,Yaada inni kenne ilaaluun barbaachisaadha.,His suggestion should be considered.
ይህ ምንጣፍ በእጅ የተሰራ ነው።,walaliin kun harkaan kan hojjetamedha.,This rug is handmade.
ሰወች እያየን ነው።,Namoonni nu ilaalaa jiru.,People are watching us.
ጨው ምግብን ከመበስበስ ለመጠበቅ ይረዳል።,Soogiddi nyaata akka hin mancaaneef gargaara.,Salt helps preserve food from spoilage.
በአውሮፕላን ለመብረር ያስፈራል።,Xiyyaaraan balali'uu ni sodaata.,He is afraid to fly by plane.
አባቴ በቅርቡ ጡረታ ሊወጣ ነው።,Abbaan koo yeroo dhiyootti soorama ba'uuf jira.,My father is going to retire soon.
ያ ደወል ይደውላል።,Sun bilbila bilbila.,That rings a bell.
ከጥቂት ቀናት በፊት ለጉዞ ሄዱ።,Guyyoota muraasa dura imalaaf deeman.,They went on a trip a few days ago.
ብርሃኑ አረንጓደ ነው። እንሻገር።,Ifni magariisa. Haa ceenu.,The light is bright.Let's cross.
ቤቴ ፈርሷል።,Manni koo diigameera.,My house is broken.
ከሰአት በኋላ ችግሩን ተወያይተናል።,Waaree booda guutuu rakkoo kana irratti mari'anne.,We discussed the problem in the afternoon.
ቶም ችላ እንድለው ነገርኩት።,Toomiin akka tuffatu itti hime.,I told Tom to ignore it.
ወንዙን ለመዋኘት ያደረገው ሙከራ አልተሳካም።,Laga kana daakee ce'uuf yaaliin godhe hin milkoofne.,His attempt to swim the river was unsuccessful.
አያትህን ታስታውሳለህ።,Akaakayyuu kee ni yaadattaa.,You remember your grandmother.
ከማን ጋር ተገናኘህ?,Eenyu waliin wal argite?,Who did you meet?
ድርድሩ እየተጠናከረ ነው።,Mariin gaggeeffamaa jira.,The negotiations are intensifying.
ፈረንሳይኛ አትናገርም።,Afaan Faransaayii hin dubbattu.,You don't speak French.
አይሰራም።,Hin hojjetu.,It doesn't work.
ማንኛውም ሰው ታዋቂ ሊሆን ይችላል።,Namni kamiyyuu beekamaa ta'uu danda'a.,Anyone can be famous.
ቶምን ትወዳለች።,Toom ni jaallatti.,She loves Tom.
ቶም ከእድሜው የበለጠ ይመስላል።,Toom umrii isaa kan caalu fakkaata.,Tom looks older than his age.
አሁንም እዚህ በመሆናችሁ ደስተኛ ነኝ።,Ammallee as jiraachuu keessanitti gammadeera.,I'm glad you're still here.
እውነት እየተናገርክ መሆኑን እንደት አውቃለሁ።,Dhugaa dubbachaa akka jirtu akkamittan beeka.,I know you are telling the truth.
ቶም አመነታ።,Toom duubatti jedhe.,Tom hesitated.
ይህን ማሳካት ይቻላል።,Sun galma gahuu danda'aa.,This can be achieved.
በፍርሃት ተያዘ።,Sodaadhaan qabame.,He was seized with fear.
ቶም ማርያም እንድትነዳ ለማሳመን ሞከረ።,Toom Maariyam akka konkolaataa ooftuuf amansiisuuf yaale.,Tom tries to convince Mary to drive.
ምናልባት መጠበቅ አይኖርብን ይሆናል።,Tarii eeguun nu hin barbaachisu ta'a.,Maybe we don't have to wait.
ፊቱ ላይ ምንም አይነት ቀለም አልነበረም ማለት ይቻላል።,Fuula isaa irratti halluun tokkollee hin turre jechuun ni danda'ama.,There was almost no color on his face.
ቶም የመኪናውን ሬድዮ አበራ።,Toom raadiyoo konkolaataa qabsiise.,Tom turned on the car radio.
ከጀርባወ ምን ደበቅከው?,Dugda kee duuba maal dhoksite?,What are you hiding behind?
የወርቅ መቀርቀሪያወቹን እዚህ የቀበረው ማን ነው?,Eenyuutu asitti awwaalee warqee?,Who buried the gold bars here?
ቤከን ሸተተኝ።,Baakoon natti urgaa'e.,I smelled bacon.
ከእርስወ ጋር እጫወታለሁ።,Si waliin taphadha.,I play with you.
በስምንት ሰአት ይተኛል።,Sa'aatii saddeetitti ciisa.,He sleeps at eight o'clock.
ቶም ምን ማድረግ ፈለገ?,Toom maal gochuu barbaade?,What did Tom want to do?
ቤት ስገባ በጣም ረሃብ ተሰማኝ።,Yeroon gara manaatti deebiʼu baayʼee beelli natti dhagaʼame.,"When I got home, I felt very hungry."
እሱ በጣም ዋጋ ያለው የእጅ ሰአት አለው።,Sa'aatii harkaa baayyee gatii guddaa qabu qaba.,He has a very expensive wristwatch.
ቶም የተሻለ ትርፍ መቶኛ ይፈልጋል።,Toom bu'aa argamu keessaa dhibbeentaa fooyya'aa barbaada.,Tom wants a better profit percentage.
ላም እንደት ታጠባዋለህ።,Akkamitti sa'a elmuu.,You milk him like a cow.
ያንተ ናቸው።,Isaan kan keeti.,They are yours.
ከሚስቱ በእጥፍ ይከብዳል።,Inni haadha manaa isaarra dachaa lama ulfaata.,He is twice as heavy as his wife.
አስቀድሜ አወ አልኩኝ።,Duraan eeyyee jedheen ture.,I already said aww.
መኪናወን ከዚያ አከፋፋይ አይግዙ። አይነ ስውር ይዘርፋሉ።,Konkolaataa kee bakka gurgurtaa sana irraa hin bitatin. Jaamaa saamu.,Don't buy a car from that dealer.They rob the blind.
እንዳታጨስ መከረችው።,Tamboo akka hin xuuxne gorsite.,She advised him not to smoke.
ዝግጁ አልነበርንም።,Qophii hin turre.,We were not ready.
በቤቱ ውስጥ የልብስ ማጠቢያ ማሽን አለ።,Maashiniin miiccaa mana keessa jiraa.,There is a washing machine in the house.
አረጋውያንን ማክበር አለብወት።,Maanguddoota kabajuu qabda.,You should respect the elderly.
በእነዚያ ቀናት ቀደም ብየ ተኛሁ።,Guyaa sanatti dursee ciiseen ture.,I went to bed early on those days.
ሰላሳ ደቂቃ ብቻ ከተሰጠን ሁሉንም ጥያቄወች መመለስ አልቻልንም።,Daqiiqaa soddoma qofa yoo nuuf kennamee gaaffii hunda deebisuu hin dandeenye.,"Given only thirty minutes, we could not answer all the questions."
የሚከተለውን ለውጥ ሃሳብ አቀርባለሁ።,Jijjiirama armaan gadii kana yaada nan dhiheessa.,I propose the following change.
ይቅርታ፣ እኔ በእርግጥ ነኝ።,"Dhiifama, dhugumaan jira.","Sorry, I really am."
ቶም አርቲስት ነው።,Toom artistiidhaa.,Tom is an artist.
በሚቀጥለው ወር ናራን እንደሚጎበኝ ነገረኝ።,Ji'a dhufu Nara akka daawwatu natti hime.,He told me that he will visit Nara next month.
ቀሚሴ ከፅዳት ሰራተኛው ሲመለስ ተበላሽቷል።,Uffanni koo qulqulleessituu irraa yeroon deebi'u manca'e.,My dress was ruined when it came back from the cleaners.
ይህ መረጃ ለህዝብ እንድገለፅ የምር ይፈልጋሉ።,Dhuguma odeeffannoon kun akka ummataaf ifa ta'u barbaadduu.,They really want this information to be disclosed to the public.
የሚኖረው በዚህ ጎዳና ነው።,Daandii kanarra jiraata.,He lives on this street.
ዛሬ ማታ ነፃ ነህ።,Halkan kana bilisa taatee.,You are free tonight.
እሷ የኮምፒውተር ፕሮግራመር ነች።,Isheen sagantaa kompiitaraa hojjettuudhaa.,She is a computer programmer.
የፀሃይ ብርሃንን ከአይኑ ላይ ለማጣራት እጁን ተጠቀመ።,Harka isaatiin ifa aduu ija isaa keessaa haxaa'e.,He used his hand to filter the sunlight from his eyes.
ያንን አትመልስ።,Sana hin deebisin.,Don't answer that.
ከዛፉ ላይ ወደቀ።,Muka irraa kufe.,He fell from the tree.
ቶም ከጎኑ ተኝቷል።,Toom cinaacha isaatiin ciisee jira.,Tom is sleeping next to him.
ቶም ይህን እንደማላደርግ የሚያውቅ አይመስለኝም።,Toom akkan akkas gochuun baay'ee rakkisaa ta'e waan beeku natti hin fakkaatu.,I don't think Tom knows I don't do this.
የእጅ አንጓ ላይ በጥፊ ተመትቸ ወረድኩ።,Harka kootti dha'ee bu'e.,I went down with a slap on the wrist.
ቶም ለየት ያለ አሰልች ይመስላል።,Toom haala adda ta'een nuffisiisaa fakkaata.,Tom looked exceptionally bored.
ፃፈው።,Barreessaa.,Write it down.
መግባት ትፈልጋለህ።,Galuu barbaaddaa.,You want to enter.
ከመጠን በላይ ክብደት አልነበረኝም።,Ulfaatina garmalee qabadhee hin beeku.,I was not overweight.
ይህን ሞቃታማ የአየር ሁኔታ መቋቋም አልችልም።,Kana booda qilleensa ho'aa kana obsuu hin danda'u.,I can't stand this hot weather.
እያደግን በሄድን ቁጥር የማስታወስ ችሎታችን እየደከመ ይሄዳል።,Hamma umuriin keenya guddachaa deemuun yaadannoo keenya hiyyeessa ta'a.,"As we get older, our memory weakens."
ያንን ቀልድ ለረጅም ጊዜ ሰምቸው አላውቅም።,Qoosaa sana yeroo dheeraaf hin dhageenye.,I haven't heard that joke in a long time.
ገንዘብ ደስታን ሊገዛ አይችልም።,Maallaqni gammachuu bitachuu hin danda'u.,Money can't buy happiness.
ቶም ቆሻሻውን አወጣ።,Toom balfa sana baase.,Tom took out the trash.
ከመመለሳችሁ በፊት ከዚህ እወጣለሁ።,Osoo ati hin deebi'in asii ba'a.,I'll be out of here before you come back.
እሷም በእንባ መለሰች።,jettee imimmaanin deebifteef.,ERROR: The read operation timed out.
ማግባት የለብህም።,fuudhuu hin qabdu.,You don't have to get married.
የልጅነት ህመም አይነ ስውር አደረጋት።,Ijoollummaatti dhukkubni jaama ishee godhe.,A childhood illness left her blind.
በቁልፍ ሰሌዳየ ላይ ቡና ልፈስ ቀረሁ።,Buna kiiboordii koo irratti dhangalaasuuf jedhe.,I almost spilled coffee on the keyboard.
ቁልፍ አለኝ።,Furtuu qaba.,I have a key.
ጥሩ ዜና አለኝ።,Oduu gammachiisaa tokko tokkon qaba.,I have good news.
በጣም ጥሩው ክፍል እነሆ።,Kutaan inni gaariin kunooti.,Here's the best part.
እንደሚመጣ እርግጠኛ ነው።,Inni dhufuun isaa hin oolu.,It is sure to come.
ወደ እኔ መቅረብ ትችላለህ።,Natti dhihaachuu dandeessaa.,You can approach me.
የቶም አስቂኝ።,Tom's nama kofalchiisa.,Tom's funny.
እባክወን ከእኔ በኋላ ያንብቡ።,Maaloo ana booda dubbisaa.,Please read after me.
ቶም ወደ ሁለተኛ ደረጃ ትምህርት ቤት ይሄዳል።,Toom mana barumsaa sadarkaa lammaffaa deema.,Tom goes to high school.
ደብዳቤህ ከትናንት በፊት ደረሰኝ።,Xalayaan kee kaleessa guyyaa duraan naaf dhufe.,I received your letter the day before yesterday.
ከመካከላቸው የትኛው ወንድምህ ነው?,Isaan keessaa obboleessi kee isa kami?,Which one of them is your brother?
ርካሽ ዋጋ ካላቸው የውጭ ምርቶች ጋር መወዳደር እንደማይችሉ ይናገራሉ።,Oomisha biyya alaa gatii xiqqaadhaan dorgomuu hin dandeenyu jedhu.,They say they cannot compete with cheaper foreign products.
"ከእኔ ጋር መሄድ ትፈልጋለህ? ""ተወራረድክ!""።","Na waliin deemuu ni barbaaddaa? ""buutee!"".","""You bet you want to go with me.""."
ስለ ጉዳዩ ምንም አልተናገርኩም።,Dhimmicha irratti homaa hin dubbanne.,I said nothing about it.
መቸ ነው የምንበላው?,Yoom nyaanna?,Where do we eat?
ማንም አይወደውም።,Namni jaallatu hin jiru.,Nobody likes him.
ካብ እንውሰድ።,Waan fudhannu irraa.,Let's take a cab.
ይህንን አቅም አንችልም።,Nuti kana hin dandeenyu.,We cannot afford this.
መኪና ተበድሬያለሁ።,Konkolaataa liqeesseen jira.,I borrowed a car.
አድስ የንግድ ካርዶች እፈልጋለሁ።,Kaardii daldalaa haaraa nan barbaada.,I need new business cards.
ግድግዳወች ጆሮ አላቸው።,Keenyan kun gurra qaba.,Walls have ears.
ብዙ ቡና ትጠጣለህ።,Buna baay'ee dhugda.,You drink a lot of coffee.
ባቡሩ በየሰላሳ ደቂቃው ይሰራል።,Baaburri kun daqiiqaa soddoma hojjeta.,The train runs every thirty minutes.
መስዋእትነት መክፈል አለብን።,Wareegama kaffaluu qabna.,We have to make sacrifices.
እኔ ሰላማዊ ሰው አይደለሁም።,Ani nama fayyaa miti.,I am not a peaceful person.
በጣም ረጅም ጊዜ ቆየ።,Yeroo Baayʼee dheeraa tureeraa.,It lasted a very long time.
እኔ ከእሱ ጋር ምንም እኩል አይደለሁም።,Ani isa waliin wal hin gitu.,I am not equal to him.
የትኛው የሃሪ ፖተር መፅሃፍ ነው የሚወዱት?,Kitaabni Haarii Pootar kamtu isin jaallata?,Which Harry Potter book do you like?
በዚህ ሳምንት በጣም ስራ በዝቶብኛል።,Torban kana baayyee hojiin natti baay'ateera.,I have been very busy this week.
እሱ ከጠበቀው በላይ አጭር ነበር።,Kan inni eege caalaa gabaabaa ture.,It was shorter than he had expected.
ይህን ውሳኔ ለማድረግ የምትፈልገው ሰው አይደለሁም።,Murtoo kana murteessuuf nama barbaaddu miti.,I am not the person you want making this decision.
ዶክተሩ አባቴን ማጨስን እንድያቆም መከረው።,Doktarri abbaan koo tamboo xuuxuu akka dhiisu gorse.,The doctor advised my father to stop smoking.
ወላጆቸ ለትዳሬ እንድስማሙ ማድረግ ችያለሁ።,Warri koo gaaʼela kootiif akka walii galan gochuu dandaʼeera.,I managed to get my parents to agree to my marriage.
ለወራት ጠንክረህ ሰርተሃል እና በእርግጠኝነት የበአል ቀን አግኝተሃል።,"Ji'ootaaf cimtee hojjettee, guyyaa ayyaanatti argachuun kee hin oolu.",You've worked hard for months and you've definitely had a day off.
እኔ በእውነት እንግዳ እንደሆንኩ ማሰብ አለብህ።,Ani keessummaa akkan ta'e yaaduu qabda.,You must think I'm really weird.
ማን ነው የሚሄደው?,Eenyuutu deema?,Who is going?
ምን ያህል አደጋ ውስጥ እንዳሉ ያውቁ ነበር።,Balaa hangamii keessa akka jiran ni beeku turan.,They knew how much danger they were in.
ለምን እንድህ እንደተናደደች አላውቅም።,Maaliif akkas akka aarte yaada hin qabu.,I don't know why she is so angry.
ምስሉ ጥቁር እና ነጭ ነው።,Suuraan kun gurraachaa fi adiin kan hojjetamedha.,The image is black and white.
ለምን እንደመጣሁ ታውቃለህ ብየ አስባለሁ።,Maaliif akkan as jiru waan beektu natti fakkaata.,I think you know why I came.
በመኪናው ውስጥ እንጠብቅሃለን።,Konkolaataa keessatti si eegna.,We will wait for you in the car.
"ከእኛ ጋር ምሳ መብላት ይፈልጋሉ? ""እኔ ደስ ይለኛል, ግን ምንም ችግር ከሌለ ብቻ።""።","Nu waliin laaqana nyaachuu barbaadduu? ""Ni jaalladha, garuu yoo rakkina hin qabu yoo ta'e."".","They want to have lunch with us. ""I'd love to, but only if there's no problem.""."
እናቴ ወተቱን ቀመሰች።,Harmeen koo aannan dhandhamte.,My mother tasted the milk.
እስካሁን ከነሱ ምንም አልሰማንም።,Hanga ammaatti homaa isaan irraa hin dhageenye.,We haven't heard anything from them yet.
እነዚያ ምን ችግር አለባቸው?,Warra sana maaltu isaan mudate?,What's wrong with those?
ለጉዞ ጊዜውም ገንዘቡንም አልችልም።,Yeroos taʼe qarshii imalaaf taʼu dandaʼu hin dandaʼu.,I can neither afford the time nor the money to travel.
መቶ በመቶ ትክክል ነህ።,Dhibbaa dhibbatti sirrii dha.,You are one hundred percent correct.
ይህ ተአምር ነው።,Kun dinqiidha.,This is a miracle.
ይህ ቦታ ሁለት ጊዜ መጎብኘት ተገቢ ነው።,Bakki kun yeroo lama daawwachuun barbaachisaadha.,This place is worth visiting twice.
ለመሞት በጣም ትንሽ ነወት።,Ati xiqqaadha du'uuf.,She's too young to die.
እዚህ ላይ እውነተኛ ችግር አለብን።,Asirratti rakkoo dhugaa qabna.,We have a real problem here.
የእሱ ማብራሪያ ግልፅ አይደለም።,Ibsi inni kenne ifa miti.,His explanation is not clear.
ቶም ገና ሰላሳ ሞላው።,Toom reefuu waggaa soddoma guute.,Tom just turned thirty.
ለተፈጥሮ ሃብታችን የውጭ ሃገራት ጥገኛ ነን።,Qabeenya uumamaa keenyaaf saba ormaa irratti hirkatna.,We are dependent on foreign countries for our natural resources.
ምስጢሬን ማወቅ ትፈልጋለህ።,Iccitii koo beekuu barbaaddaa.,You want to know my secret.
የነፋሱ ንፋስ ከጣሪያው ላይ ብዙ ሰድሮችን ቀደደ።,"Qilleensi cimaan kun, foddaa irraa tilmaama hedduu cicciree ture.",A gust of wind tore several tiles off the roof.
ጠበቆችን እጠላለሁ።,Abukaatoo nan jibba.,I hate lawyers.
ዛሬ ጥሩ ቀን ነው።,Har'a guyyaa gaarii dha.,Today is a good day.
አጭር መልሱ አወ ነው።,Deebiin gabaabaan eeyyeedha.,The short answer is yes.
ጓደኛህ መሆን አልፈልግም።,Hiriyaa kee ta'uu hin barbaadu.,I don't want to be your friend.
ቶም ስራ አጥ እንደሆነ ነገረኝ።,Toom hojii dhabaa akka ta'e natti hime.,Tom told me he was unemployed.
አባቱን በማጣቱ አዘነ።,Abbaa isaa waan dhabeef gaddi itti dhagahame.,He mourned the loss of his father.
በእውነት አውስትራሊያን ልናፍቀው ነው።,Dhuguma Awustiraaliyaa yaadufan jira.,I am really going to miss Australia.
ብርሃኑ ወደ አረንጓደ እስኪቀየር ድረስ ይጠብቁ።,Hanga ifni gara magariisaatti jijjiiramutti eegaa.,Wait until the light turns to amber.
አልተሳሳትኩም።,Ani hin dogoggorre.,I wasn't wrong.
ይህንን ተረድተናል።,Kana ni hubanneerra.,We understand this.
ቶም በአጠቃላይ ያጋጠመውን ሁኔታ በተጨባጭ በመገምገም ጥሩ ውሳኔወችን ያደርጋል።,Toom akka waliigalaatti murtoo gaarii kan murteessu haala isa mudate haala qabatamaa taʼeen madaaluudhaani.,Tom generally makes good decisions by assessing the situation objectively.
በዚያ ህንፃ የመጀመሪያ ፎቅ ላይ ነው።,Gamoo sana keessaa kutaa tokkoffaa irratti argama.,It is on the first floor of that building.
ይህ የአበባ ማስቀመጫ ከምን የተሰራ ነው?,Teessumni daraara kun maalirraa hojjetame?,What is this vase made of?
ቶም ተርጓሚ አይደለም።,Toom nama afaan hiiku miti.,Tom is not a translator.
ምን እንደሚያደርጉ አውቃለሁ።,Waan isaan gochuuf deeman nan beeka.,I know what you do.
ኩራትህን መዋጥ አለብህ።,Of tuuluummaa kee liqimsuu qabda.,You have to swallow your pride.
እንደታሰርኩ አላውቅም ነበር።,Akkan hidhame hin beekun ture.,I didn't know I was arrested.
ምናሌውን ማየት እችላለሁን?,Menu ilaaluu nan danda'aa?,Can I see the menu?
በሌላ ቀን ልታየው ሄደች።,Guyyaa tokko isa arguuf deemte.,She went to see him the other day.
እዚህ እንድትሆኑ እንመኛለን።,Osoo asitti argamtanii hawwina.,We wish you were here.
ቶም የሞተ ይመስለኛል።,Toom du'e natti fakkaata.,I think Tom is dead.
የአንተን ቲወሪ መቃወም ማለቴ አይደለም።,Tiyoorii kee mormuu jechuu koo miti.,I don't mean to challenge your theory.
ብዙውን ጊዜ እዚህ ምሽት ላይ ቀዝቃዛ ንፋስ አለ።,Yeroo baayyee galgala qilleensi qabbanaa'aan asitti ni jira.,There is usually a cold wind here at night.
ቀላል የእርስወን መበደር እችላለሁ።,Xiqqoo naaf liqeessuu dandeessuu.,I can easily borrow from you.
ምርጫው የአንተ ብቻ ነው።,Filannoon hundi sirratti hundaa'a.,The choice is yours alone.
እሱን መሳቂያ ማድረግ አልችልም።,Itti qoosuu dhiisuu hin danda'u.,I can't make him laugh.
ምናልባት ሄዶ ሊሆን ይችላል።,Duraanis deemee ta'uu danda'a.,Maybe he's gone.
አሁን እርምጃ መውሰድ አለብን።,Amma tarkaanfii fudhachuu qabna.,We must act now.
አጎቷን አገኘችው።,Adeera ishee waliin wal barte.,She met her uncle.
ማናችንም ብንበላም እስካሁን አልበላንም።,Tokko keenyayyuu hanga ammaatti hin nyaanne.,None of us have eaten yet.
ቶም ለገና ምን ጠየቀ?,Toom ayyaana Qilleef maal gaafate?,What did Tom ask for Christmas?
በእርግጥ ይህ አስፈላጊ ነው ብለው ያስባሉ።,Dhuguma sun barbaachisaa sitti fakkaataa.,Of course you think this is important.
ያንን ግምት ውስጥ ማስገባት አለብወት።,Sana tilmaama keessa galchuu qabda.,ERROR: The read operation timed out.
ሁላችንም ይራበናል፣ስለዚህ ለሁሉም የሚሆን በቂ ምግብ ማምጣትወን እርግጠኛ ይሁኑ።,"Hundi keenya ni beelofna, kanaaf nyaata nama hundaaf gahaa ta'e fiduu keessan hin dagatinaa.","We all get hungry, so make sure you bring enough food for everyone."
በእንደዚህ አይነት ጥሩ ቀን ውስጥ በቤት ውስጥ መታደግ የሚፈልግ ማነው።,Guyyaa gaarii akka kanaa eenyutu mana keessaatti guddachuu barbaada.,Who wants to be saved at home on such a good day.
ቶም ለማርያም በፈረንሳይኛ የተፃፈ መልእክት ላከ።,Toom ergaa afaan Faransaayiin barreeffame Maariyaamiif erge.,Tom sent Mary a message written in French.
ልዩነቶቻቸውን አስወግዷል።,Garaagarummaa fixan.,He brushed aside their differences.
ሌላው ቀርቶ አስፈላጊ ነው።,Dhimma biraa hafee barbaachisaadha.,It is even important.
ዝም ብየ አላመንኩም ነበር።,Ani akkasumaan hin amanne.,I just couldn't believe it.
ጠበቃ ማነጋገር አለብኝ።,Abbaa seeraa waliin haasa'uun na barbaachisa.,I need to talk to a lawyer.
ባለቤቴ ምስኪን ሹፌር ነች።,Haati manaa koo konkolaachistuu hiyyeettiidha.,My wife is a poor driver.
ጤናማ ይመስላሉ።,Fayyaa fakkaatu.,They look healthy.
አንድ ትልቅ ጉጉት አሁን አየሁ።,Reefu oowwii guddaa tokkon arge.,I just saw a big owl.
ስሜ ማን እንደሆነ ጠየቀኝ።,Maqaan koo eenyu akka ta'e na gaafate.,He asked me what my name was.
ዝናብ እንደማይዘንብ ተስፋ አደርጋለሁ።,Akkanatti akka roobni hin roobne abdiin qaba.,I hope it doesn't rain.
ይህ ለምን አስፈላጊ ነው?,Kun maaliif dhimma qaba?,Why is this important?
በዚህ አካል ላይ የአስከሬን ምርመራ ማድረግ እፈልጋለሁ።,Reeffa kana irratti qorannoo reeffaa gochuun barbaada.,I would like to perform an autopsy on this body.
ከትምህርት ቤት የቀረሁት ጉንፋን ስላለብኝ ነው።,utaalloo waanan qabuufan mana barumsaa irraa hafe.,I missed school because I had a cold.
ይህን ስም ከዚህ በፊት ሰምቸው ነበር።,Maqaa sana kanaan dura dhaga'een ture.,I had heard this name before.
ዛፉ ማደግ አቆመ።,Mukti guddachuu dhiise.,The tree stopped growing.
ይህ ሶፋ ሶስት ሰወችን በቀላሉ ሊቀመጥ ይችላል።,Soofaa kun salphaatti nama sadii teessisuu danda'a.,This sofa can easily seat three people.
በችግሮቸ ላስቸግራችሁ አልፈልግም።,Dhuguma rakkoo kootiin isin dhiphisuu hin barbaadu.,I don't want to trouble you with problems.
መጀመሪያ ላይ ምንም ሊገባኝ አልቻለም።,Jalqaba irratti homaa hubachuu hin dandeenye.,At first I couldn't understand anything.
በቀላል ጥያቄ እንጀምር።,Mee gaaffii salphaa irraa haa jalqabnu.,Let's start with a simple question.
ለምንድነው እዚህ ያለነው?,Maaliif as jirra?,Why are we here?
ብቻህን መሆን ምን እንደሚመስል አውቃለሁ።,Kophaa ta'uun maal akka fakkaatu nan beeka.,I know what it's like to be alone.
ቶም ምን እንደሚለብስ ታውቃለህ።,Toom maal akka uffate beektaa.,You know what Tom wears.
ይቅርታ የምር አላስታውስም።,"Dhiifama, dhuguma hin yaadadhu.","Sorry, I really don't remember."
በየቀኑ ጠዋት ለግማሽ ሰአት ያህል በእግር ለመጓዝ ደንብ አደርጋለው።,Ganama ganama walakkaa sa'aatii miilaan deemuu seera godhera.,I make it a rule to walk for half an hour every morning.
በጭንቅላታችሁ ውስጥ ምን እንዳለ ለመረዳት ፍላጎት የለኝም።,Waan mataa keessan keessa jiru hubachuuf fedhii hin qabu.,I'm not interested in understanding what's in your head.
ይህ በእውነት አዋራጅ ነው።,Kun dhuguma gad of deebisuudha.,This is truly humiliating.
ምናልባት አብረን መቀመጥ እንችላለን።,Tarii waliin taa'uu dandeenya.,Maybe we can sit together.
ጨርሶ መምጣት አጠራጣሪ ነው።,Tasumaa dhufuun isaa shakkii qaba.,It is doubtful that it will come at all.
ቲቪ ለማየት ጊዜ የለኝም።,Yeroon TV ilaalu hin qabu.,I don't have time to watch TV.
ቶም ግማሽ ሰአት ዘግይቶ መጣ።,Toom walakkaa sa'aatii booda dhufe.,Tom arrived half an hour late.
ይህ በጣም ውጥረት ነው አይደል?,Kun baay'ee dhiphina qaba mitiiree?,"This is very stressful, isn't it?"
ከተማ ውስጥ የማደርገው ጉዳይ አለኝ።,Magaalaa keessatti waanan hojjedhu tokkon qaba.,I have business to do in town.
ማንኛውም ነገር ይቻላል።,Wanti kamiyyuu ni danda'ama.,Anything is possible.
የኔን ትወዷለህ።,Kan koo ni jaallattaa.,You love mine.
መንዳት ትችላለህ።,Konkolaachisuu ni dandeessaa.,You can drive.
ወድያው ወደ ንግግሩ ገቡ።,Achumaan haasawa keessa seenan.,They immediately got into the conversation.
ከእስር ቤት ስወጣ መጀመሪያ የገዛሁት የኤኮኖሚ መኪና ነው።,Yeroon mana hidhaa keessaa bahu wanti jalqaba bite konkolaataa dinagdee ture.,The first thing I bought when I got out of prison was an economy car.
እንስሳት እውነተኛውን እና ሃሰተኛውን መናገር አይችሉም።,Bineensonni waan dhugaa fi waan sobaa adda baasuu hin danda'an.,Animals cannot tell what is true and what is false.
አሳ ነባሪ አጥቢ እንስሳ ነው።,Qurxummiin guddaa jechuun hoosisuudha.,A whale is a mammal.
ካንተ ጋር ላገባ እንደማልፈልግ አውቃለሁ።,Sitti heerumuun akkan hin barbaanne nan beeka.,I know I don't want to marry you.
ይህ መያዣ ሙሉ በሙሉ ውሃ የማይገባ ነው።,Meeshaan kun guutummaatti bishaan kan hin seennedha.,This case is completely waterproof.
ስኳር አጥተናል ማለት ይቻላል።,Sukkaarri nu jalaa dhumeera jechuun ni danda'ama.,We are almost out of sugar.
ውሳኔ መስጠት ነበረበት።,Murtoon kennuun qaban ture.,He had to make a decision.
ግምቴን ማወቅ ትፈልጋለህ።,Tilmaama koo beekuu barbaaddaa.,You want to know my guess.
ጋዜጣው እንዳለው ራሱን አጠፋ።,Akka gaazexaan kun ibsutti of ajjeese.,"According to the newspaper, he committed suicide."
ከሞተች ብዙ አመታት ተቆጥረዋል።,Erga duutee waggoota hedduu ta'eera.,It has been many years since she died.
ውጤቱን አላሰብኩም ነበር።,Bu'aa isaa hin yaadne.,I didn't expect the results.
ብዙ አድርጌዋለሁ።,Baay'een hojjedhe.,I've done it a lot.
አትክልት ትሸጣለች።,Kuduraa fi muduraa gurgurti.,She sells vegetables.
ለእያንዳንዱ ደንብ የተለየ ነገር አለ።,Seera hunda keessaa kan adda ta'e jira.,There is an exception for every rule.
ቶም በጥቅምት ወር መመለስ አለበት።,Toom hanga Waxabajjiitti deebi'uu qaba.,Tom should be back in October.
ባቄላ እወዳለሁ።,Baqalaa nan jaalladha.,I love beans.
ከገና በፊት ሱቆች ተጨናንቀዋል።,Manneen daldalaa ayyaana masqalaa dura namaan guutamaniiru.,Shops are crowded before Christmas.
